phase,id,name,simple_name,description,Category,synonyms,question,gender,is_searchable,is_askable,neo4j_id,types
,1096,Subarachnoid hemorrhage,Bleeding in the space that surrounds the brain,Bleeding in the space that surrounds the brain,Disease / Medical Condition,"bleeding in the space between the brain and the surrounding membrane, SAH, blood in the area between the arachnoid membrane and the pia mater, hemorrhage in the space between the brain and the surrounding membrane, Subarachnoid bleed",Have you been diagnosed with {Subarachnoid hemorrhage}[Subarachnoid hemorrhage means that there is bleeding in the space that surrounds the brain]?,both,False,True,9402,etiology
,1094,Consumption of contaminated food or water,Eating/drinking dirty food or water,Eating/drinking dirty food or water,Risk factor,"Ingestion of contaminated food, ingestion of contaminated water, eating dirty food, drinking dirty water, ingestion of tainted food and water, eating polluted water, drinking polluted water, consumption of unclean food, consumption of unclean water, eating tainted food, drinking tainted water",Did you recently eat or drink contaminated food or water?,both,False,True,5480,etiology
,1093,History of psoriasis,Past occurrence of the skin condition psoriasis,Psoriasis is a skin disease that speeds up the growth cycle of skin cells leading to a buildup of dead cells,Disease / Medical Condition,"previously diagnosed with psoriasis, a past record of psoriasis, Psoriasis is part of the medical background, a previous occurrence of psoriasis, dealing with Psoriasis before, having Psoriasis in the past, a past diagnosis of psoriasis, experienced psoriasis at some point in life, psoriasis in the medical records, ",Have you been diagnosed with {Psoriasis}[Psoriasis is a skin disease that speeds up the growth cycle of skin cells leading to a buildup of dead cells]?,both,False,True,9305,"disease, etiology, symptom"
,1092,Ankle joint swelling,Ankle joint enlargement,Ankle joint becoming larger or rounder in size,Symptom,"enlarged ankle joint, ankle enlargement, puffy ankle joint, ankle joint is rounder in size",Are your ankle joint(s) {swollen}[become larger or rounder in size]?,both,False,False,232,symptom
,1085,Family history of idiopathic pulmonary fibrosis,Family history of lung scarring with unknown cause,Idiopathic pulmonary fibrosis is a serious disease that affects the lungs where they become scarred and difficult to expand,Family History,"Ancestral background of idiopathic pulmonary fibrosis, Genetic heritage of idiopathic pulmonary fibrosis, Inherited predisposition to idiopathic pulmonary fibrosis, idiopathic pulmonary fibrosis runs in the family, idiopathic pulmonary fibrosis is prevalent in family, There is a familial link to idiopathic pulmonary fibrosis, idiopathic pulmonary fibrosis is present among relatives, idiopathic pulmonary fibrosis has a familial association, idiopathic pulmonary fibrosis is common in the family lineage, There is a family tendency for idiopathic pulmonary fibrosis, idiopathic pulmonary fibrosis is a familial trait, idiopathic pulmonary fibrosis has been seen in multiple family members, mother had idiopathic pulmonary fibrosis, father had idiopathic pulmonary fibrosis, grandpa had idiopathic pulmonary fibrosis, grandma had idiopathic pulmonary fibrosis, family history of cryptogenic fibrosing alveolitis, family history of interstitial pneumonitis",Do you have a family history of {Idiopathic pulmonary fibrosis}[Idiopathic pulmonary fibrosis is a serious disease that affects the lungs where they become scarred and difficult to expand]?,both,False,True,65,etiology
,1084,History of lyme disease,Previous Lyme disease infection,Lyme disease is a disease caused by a type of insect,Disease / Medical Condition,"previously diagnosed with lyme disease, a past record of lyme disease, lyme disease is part of the medical background, a previous occurrence of lyme disease, dealing with lyme disease before, having lyme disease in the past, a past diagnosis of lyme disease, experienced lyme disease at some point in life, lyme disease in the medical records, history of lyme borreliosis",Have you been recently diagnosed with {Lyme disease}[Lyme disease is a disease caused by a type of insect]?,both,False,True,195,etiology
,1083,Use of lithium,Taking Lithium medication,Lithium is a drug used to treat some psychiatric disorders,Medication,"taking lithium, lithium Consumption, lithium Administration, lithium intake, Use of bipolar medication, Use of Eskalith, Use of Lithobid, Use of Cibalith-S
",Do you take {lithium}[Lithium is a drug used to treat some psychiatric disorders]?,both,False,True,66,etiology
,1048,Tracheostomy,Surgical airway opening in the neck,Having a tube inserted at the front of neck to enable you to breathe,Procedure / Surgery,"Tracheal stoma, Tracheal incision, Tracheal tube placement, Tracheal opening, a tube inserted at the front of neck",Do you have a tube inserted at the front of your neck to enable you to breathe?,both,False,True,380,etiology
,1046,Family history of strabismus,Family history of misaligned eyes,Strabismus is a disorder in which eyes do not line up in the same direction,Family History,"Ancestral background of strabismus, Genetic heritage of strabismus, Inherited predisposition to strabismus, strabismus runs in the family, strabismus is prevalent in family, There is a familial link to strabismus, strabismus is present among relatives, strabismus has a familial association, strabismus is common in the family lineage, There is a family tendency for strabismus, strabismus is a familial trait, strabismus has been seen in multiple family members, mother had strabismus, father had strabismus, grandpa had strabismus, grandma had strabismus, family history of Heterotropia, family history of crossed eyes, family history of squint, family history of esotropia, family history of hypertropia, family history of hypotropia",Do you have a family history of {strabismus}[Strabismus is a disorder in which eyes do not line up in the same direction]?,both,False,True,377,etiology
,1043,Use of sedative drugs,The use of a medication that helps in sleeping or relaxing,The use of a medication that helps in sleeping or relaxing,Medication,"taking sedative drugs, sedative drugs Consumption, sedative drugs Administration, sedative drugs intake, Use of Benzodiazepines, Use of Diazepam, Use of Valium, Use of Lorazepam, Use of Ativan, Use of Alprazolam, Use of Xanax, Use of Non-Benzodiazepine Sedative-Hypnotics, Use of Zolpidem, Use of Ambien, Use of Eszopiclone, Use of Lunesta, Use of Diphenhydramine, Use of Benadryl",Have you recently used a drug to help you sleep or to calm down?,both,False,True,285,etiology
,1042,Recent thoracic surgery,Recent chest surgery,"Within the chest includes lungs, heart, and esophagus",Procedure / Surgery,"recently undergone thoracic surgery, a recent record of thoracic surgery, thoracic surgery is part of the medical background, dealing with thoracic surgery recently, having thoracic surgery recently, experienced thoracic surgery recently, thoracic surgery in the medical records, had thoracic operation recently, recent history of thoracic procedure, recent Chest cavity surgery, recent Chest cavity operation, recent Chest cavity procedure, recent Upper torso surgery","Did you recently have any surgery that involves organs {within the chest}[Within the chest includes lungs, heart, and esophagus]?",both,False,True,264,etiology
