phase,id,name,simple_name,synonyms,question,gender,is_searchable,is_askable,neo4j_id,types
2,504,Abdominal bloating,,"feeling bloated, belly feels full and tight, full belly, blown belly, blown abdomen, belly fullness, inflated belly, gassy, Bloated stomach, Distended abdomen, Swollen belly, Abdominal fullness, Excessive gas in the abdomen",Does your belly feel {bloated}[Feeling bloated means that your belly feels full and tight like the sensation felt after overeating]?,both,True,True,38,symptom
2,85,Abdominal mass,,"lump in the abdomen, bulge in the abdomen, bulge in the belly, mass in belly, lump in belly, swelling in belly, swelling in abdomen, mass in tummy, lump in tummy",Do you have a mass or bulge in your belly?,both,True,True,205,symptom
1,770,Abdominal pain,,"tummy pain, belly pain, stomach pain, tummy ache, belly ache, stomach ache, stomach hurt, belly hurt, tummy hurt, gastric pain, abdominalgia, abdominal discomfort, tummy discomfort, belly discomfort",Do you have {abdominal}[Abdomen refers to the belly] pain/discomfort?,both,True,True,56,symptom
2,456,Abdominal tenderness,Sore abdomen,"pain when touching the abdomen, pain when applying pressure to the abdomen, sore abdomen, pain when touching belly, pain when touching stomach, pain when touching tummy, belly is sore to touch, stomach is sore to touch, burning when touching belly, burning when touching tummy, tender belly, abdomen is sore to touch, tender stomach",Does it hurt when you touch or apply pressure on your belly?,both,True,True,93,symptom
1,1033,Absence of Nocturnal Penile Tumescence,Not having normal erections during sleep,"no NPT, no spontaneous erection of the penis during sleep, no spontaneous erection of the penis when waking up, no sleep-related erection, no morning glory, no morning wood, no erection upon waking up, no erection during sleep, not having normal erections while  sleep",Do you no longer get an erection during sleep or when waking up?,male,True,True,266,symptom
1,689,Alternation between diarrhea and constipation,,"alternating constipation and diarrhea, constipation after diarrhea, diarrhea after constipation, Fluctuating bowel movements, Irregular bowel habits, Diarrhea and constipation cycles, Shifting between loose stools and hard stools, Mixed pattern of diarrhea and constipation","Are you alternating between having {diarrhea}[Diarrhea is a loose, watery, and possibly more-frequent poop] and {constipation}[Constipation is having fewer than three poops a week]?",both,True,True,89,symptom
2,355,Amenorrhea,Absence of period,"stopped getting periods, Absence of period, missed period, no period, no menstruation, menstruation stop, can't see mense anymore",Have you stopped getting your periods?,female,True,True,-1,"etiology, symptom"
2,320,Anal mass,,"lump in anus, bulge in anus, rectal mass, bump in the anus, rectal bulge, anal bumps, rectal bumps, Swelling around the anus, Abnormal growth near the anal opening, Enlarged tissue in the anal area, Abnormal protrusion in the anal region","Do you have an {anal mass}[Anal mass is a lump, bulge or mass in the anus]?",both,True,True,762,symptom
2,582,Anal pain,Burning sensation around anus after passing stool,"Burning sensation around anus after passing stool, burning sensation around anus after feces, anus burning after defecation, anus irritation after passing stool, pain in anus when pooping, Rectal pain, Anus discomfort, Anal soreness, Rectal discomfort, Anus ache, Anal throbbing",Does your anus hurt or feel like it's burning?,both,True,True,6,symptom
2,542,Anemia,,"blood deficiency, low red blood cells, low rbcs, low hemoglobin, decrease in healthy red blood cells, Low oxygen-carrying capacity, Decreased red cell mass, Hemoglobin insufficiency",Have you been diagnosed with {Anemia}[Anemia is a condition in which there is a decrease in the number of healthy red blood cells or hemoglobin]?,both,True,True,16,"disease, symptom"
2,406,Angioedema,Swelling of deeper skin layers,"Swelling of deeper skin layers, face puffiness, lips swelling, lips puffiness, eyes puffiness, edema under hands skin, genital edema, edema under feet skin, ","Do you have swelling or puffiness in your face, lips, eyes, hands, feet or private area?",both,True,True,122,"etiology, symptom"
1,1024,Anisocoria,Unequal pupil sizes,"unequal pupil size, one big and one small eye pupil, pupils different in size","Are your {pupils}[Pupil is the black, round part in the center of the eye] different in size?",both,True,True,276,symptom
1,916,Ankle bruising,Blue/purple skin on ankle,"Blue-purple skin on ankle, injury around ankle, ankle contusion, ankle discoloration","Do you have {bruises}[A bruise is an injury appearing as an area of discolored (red, blue, yellow, green, purple) skin on the body] around your ankle?",both,True,True,390,symptom
2,412,Anorexia or loss of appetite,Poor appetite,"no appetite, decreased appetite, poor appetite, not wanting to eat, not feeling hungry, reduced desire to eat, can't eat well, Reduced food intake, Lack of hunger, Loss of desire to eat",Do you lack appetite?,both,True,True,119,symptom
2,327,Anxiety,,"lots of concerns, nervousness, increased concern, feel nervous, stressed out, worried",Have you been feeling {anxious}[Anxious is when you start worrying a lot] lately?,both,True,True,755,"etiology, symptom"
1,838,Aphasia,Decreased ability to understand or express language,"Decreased ability to understand or express language, inability to understand language, impairment of language, loss of ability to understand, loss of ability to express speech, loss of language skills, speaking inability, stopped speaking, loss of speech, hard to read first language","Do you find it hard to understand, speak or read your first language?",both,True,True,453,symptom
2,508,Aphonia,Loss of voice,"absence of voice, no voice, inability to speak, cannot speak, cannot talk, inability to talk, not able to talk, unable to speak, not able to speak, silence, no sound, no voice, voice cannot get out, Muteness, Voicelessness, ",Have you lost your voice?,both,True,True,628,symptom
2,583,Areolae darkening,Darkening nipples,"abnormally dark nipples, unusual black nipples, Areolae are having an intense color, Deepening of areolar hue, Increased areolar pigmentation, increased nipples pigmentation ",Are your nipples or the skin around them getting darker in color?,female,True,True,583,symptom
1,706,Arthralgia,Joint pain,"sore joints, joint ache, shoulder hurt, discomfort at shoulder, shoulder pain, hip pain, knee pain, ankle pain, toes pain, thumb pain, elbow pain, wrist pain",Do you have pain in any of your {joints}[Joints are areas where two or more bones meet]?,both,True,True,518,symptom
1,764,Ascites,Swollen belly,"abnormally swollen belly, abnormally swollen abdomen, abnormally swollen tummy, lots of fluid in belly, abnormal buildup of fluid in the abdomen, increased abdominal size, peritoneal cavity fluid, hydroperitoneum, hydroperitonia, abdominal dropsy, abnormally large belly, abnormally large abdomen, abnormally large tummy","Has your belly gotten abnormally swollen or large?||Is your belly abnormally swollen or large, not due to pregnancy?",both,True,True,482,symptom
1,799,Ataxia,Inability to control body movements,"the loss of full control of bodily movements, inability to control body movements, lack of muscle control of voluntary movements, unsteady movements, inability to coordinate voluntary muscle movements, difficulty maintaining balance, difficulty walking","Do you find it difficult to maintain balance, walk, talk, swallow, write, eat, and see?",both,True,True,354,symptom
2,483,Back neck pain,,"back of neck hurt, cervicalgia, cervical pain from back, back of cervical spine pain, ache at the back of the neck",Do you have pain in the back of your neck?,both,True,True,647,symptom
2,600,Back pain,,"lumbago, back hurts, back ache, Back discomfort, dorsal pain, Lumbar pain",Do you have back pain?,both,True,True,574,symptom
2,803,Back stiffness,Restricted movement of back,"difficulty moving back, restricted movement of back, inability to move back, inflexibility in back, rigidity in back, back tension","Has your back recently felt stiff, making it hard to move around?",both,True,True,347,symptom
1,831,Barrel chest,Bloated chest,"increase in the diameter of the chest wall, inflated chest, abnormally rounded chest, bulging chest, chest puffiness, bloated chest",Do you have a {barrel chest}[Barrel chest is an abnormally rounded chest where it looks partially inflated]?,both,True,True,35,symptom
2,533,Bleeding easily or difficulty controlling bleeding,,"inability to control bleeding, blood doesn't clot fast, bleeding a lot, the bleeding does not stop, Uncontrolled bleeding, Poor clotting, Excessive bleeding, Prolonged bleeding",Have you recently noticed an increased bleeding tendency or difficulty in controlling your bleeding?,both,True,True,614,symptom
1,829,Blister or vesicle,Small pockets of fluid beneath the skin,"sacs filled with fluid, Small pockets of fluid beneath the skin, skin Bubble, Fluid-filled sac, Pustule, Vesicular lesion",Do you have any {blisters}[Blister refers to small to medium-sized pockets of fluid beneath the skin] anywhere on your body?,both,True,True,394,symptom
2,247,Blue sclerae,Bluish coloration of the whites of the eyes,"bluish coloration of the whites of the eyes, Grayish sclerae, Grayish coloration of the whites of the eyes","Do you have a bluish coloration of the whites of your eyes?
",both,True,True,806,symptom
