ICD CODE,DESCRIPTION
I249,"acute ischemic heart disease, unspecified"
I249,"acute ischaemic heart disease, unspecified"
E790,hyperuricemia without signs of inflammatory arthritis and tophaceous disease
E790,hyperuricaemia without signs of inflammatory arthritis and tophaceous disease
K760,"fatty (change of) liver, not elsewhere classified"
M940,chondrocostal junction syndrome [tietze]
N142,"nephropathy induced by unspecified drug, medicament or biological substance"
B373,candidiasis of vulva and vagina (n77.1*)
B373,candidiasis of vulva and vagina
N760,acute vaginitis
D250,submucous leiomyoma of uterus
N840,polyp of corpus uteri
N939,"abnormal uterine and vaginal bleeding, unspecified"
N923,ovulation bleeding
N870,mild cervical dysplasia
N390,"urinary tract infection, site not specified"
N8320,unspecified ovarian cysts
I10,essential (primary) hypertension
E1340,other specified diabetes mellitus with unspecified neuropathy
I639,"cerebral infarction, unspecified"
N806,endometriosis in cutaneous scar
R7301,impaired fasting glucose
E785,"hyperlipidaemia, unspecified"
E785,"hyperlipidemia, unspecified"
E119,type 2 diabetes mellitus without complications
E119,type 2 diabetes mellitus without complication
M109,"gout, unspecified"
M545,low back pain
D649,"anaemia, unspecified"
D649,"anemia, unspecified"
D259,"leiomyoma of uterus, unspecified"
I739,"peripheral vascular disease, unspecified"
G900,idiopathic peripheral autonomic neuropathy
J309,"allergic rhinitis, unspecified"
J029,"acute pharyngitis, unspecified"
J0390,"acute tonsillitis, unspecified"
R509,"fever, unspecified"
M47892,"other spondylosis, cervical region"
J209,"acute bronchitis, unspecified"
G9009,other idiopathic peripheral autonomic neuropathy
J00,acute nasopharyngitis [common cold]
E878,"other disorders of electrolyte and fluid balance, not elsewhere classified"
A09,"infectious gastroenteritis and colitis, unspecified"
A09,other gastroenteritis and colitis of infectious and unspecified origin
D509,"iron deficiency anaemia, unspecified"
D509,"iron deficiency anemia, unspecified"
G63,polyneuropathy in diseases classified elsewhere
N200,calculus of kidney
E039,"hypothyroidism, unspecified"
S83249A,"other tear of medial meniscus, current injury, unspecified knee, initial encounter"
J45901,unspecified asthma with (acute) exacerbation
J069,"acute upper respiratory infection, unspecified"
J45991,cough variant asthma
I259,"chronic ischemic heart disease, unspecified"
I259,"chronic ischaemic heart disease, unspecified"
E559,"vitamin d deficiency, unspecified"
M4723,"other spondylosis with radiculopathy, cervicothoracic region"
E079,"disorder of thyroid, unspecified"
I258,other forms of chronic ischaemic heart disease
J019,"acute sinusitis, unspecified"
M1389,"other specified arthritis, multiple sites"
M1389,"other specified arthritis, site unspecified"
M544,lumbago with sciatica
N23,unspecified renal colic
M5116,"intervertebral disc disorders with radiculopathy, lumbar region"
N144,"toxic nephropathy, not elsewhere classified"
E282,polycystic ovarian syndrome
K0500,"acute gingivitis, plaque induced"
K029,"dental caries, unspecified"
D519,"vitamin b12 deficiency anaemia, unspecified"
D519,"vitamin b12 deficiency anemia, unspecified"
S83242A,"other tear of medial meniscus, current injury, left knee, initial encounter"
H8110,"benign paroxysmal vertigo, unspecified ear"
Z3481,"encounter for supervision of other normal pregnancy, first trimester"
M069,"rheumatoid arthritis, unspecified"
M1990,"unspecified osteoarthritis, unspecified site"
M791,myalgia
M47896,"other spondylosis, lumbar region"
K297,"gastritis, unspecified"
J45998,other asthma
I2589,other forms of chronic ischemic heart disease
M629,"disorder of muscle, unspecified"
L500,allergic urticaria
K219,gastro-esophageal reflux disease without esophagitis
K219,gastro-oesophageal reflux disease without oesophagitis
M4725,"other spondylosis with radiculopathy, thoracolumbar region"
M4726,"other spondylosis with radiculopathy, lumbar region"
H6123,"impacted cerumen, bilateral"
G43919,"migraine, unspecified, intractable, without status migrainosus"
E049,"nontoxic goitre, unspecified"
N930,postcoital and contact bleeding
T7840XA,"allergy, unspecified, initial encounter"
K819,"cholecystitis, unspecified"
L509,"urticaria, unspecified"
L049,"acute lymphadenitis, unspecified"
N809,"endometriosis, unspecified"
L299,"pruritus, unspecified"
R21,rash and other nonspecific skin eruption
E1121,type 2 diabetes mellitus with incipient diabetic nephropathy
J342,deviated nasal septum
R040,epistaxis
T17298A,"other foreign object in pharynx causing other injury, initial encounter"
I248,other forms of acute ischaemic heart disease
M654,radial styloid tenosynovitis [de quervain]
D179,"benign lipomatous neoplasm, unspecified"
N209,"urinary calculus, unspecified"
M25539,pain in unspecified wrist
E042,nontoxic multinodular goiter
E042,nontoxic multinodular goitre
J304,"allergic rhinitis, unspecified"
R002,palpitations
I70,atherosclerosis
L209,"atopic dermatitis, unspecified"
K769,"liver disease, unspecified"
I209,"angina pectoris, unspecified"
N481,balanitis
N481,balanoposthitis
F809,"developmental disorder of speech and language, unspecified"
K0381,cracked tooth
K040,pulpitis
L84,corns and callosities
M2550,"pain in a joint, multiple sites"
F419,"anxiety disorder, unspecified"
J22,unspecified acute lower respiratory infection
K8000,"calculus of gallbladder with acute cholecystitis, without mention of obstruction"
N946,"dysmenorrhea, unspecified"
N946,"dysmenorrhoea, unspecified"
N800,endometriosis of uterus
N049,"nephrotic syndrome, unspecified"
M62830,muscle spasm of back
K3580,unspecified acute appendicitis
K279,"peptic ulcer, unspecified as acute or chronic, without haemorrhage or perforation"
L752,apocrine miliaria
M5090,"cervical disc disorder, unspecified, unspecified cervical region"
B342,"coronavirus infection, unspecified site"
B342,"coronavirus infection, unspecified"
W57XXXA,"bitten or stung by nonvenomous insect and other nonvenomous arthropods, initial encounter"
J310,chronic rhinitis
R730,abnormal carbohydrate tolerance
M542,cervicalgia
M7711,"lateral epicondylitis, right elbow"
R51,headache
R05,cough
N63,unspecified lump in breast
K589,irritable bowel syndrome without diarrhea
K589,irritable bowel syndrome without diarrhoea
G59,mononeuropathy in diseases classified elsewhere
I519,"heart disease, unspecified"
L219,"seborrheic dermatitis, unspecified"
L219,"seborrhoeic dermatitis, unspecified"
B009,"herpesviral infection, unspecified"
B349,"viral infection, unspecified"
R030,"elevated blood-pressure reading, without diagnosis of hypertension"
M6289,"other specified disorders of muscle, site unspecified"
R630,anorexia
G439,"migraine, unspecified"
M47897,"other spondylosis, lumbosacral region"
Z4803,encounter for change or removal of drains
G629,"polyneuropathy, unspecified"
N189,"chronic renal failure, unspecified"
N189,"chronic kidney disease, unspecified"
E069,"thyroiditis, unspecified"
M65812,"other synovitis and tenosynovitis, left shoulder"
M1380,"other specified arthritis, multiple sites"
E1140,type 2 diabetes mellitus with unspecified neuropathy
S8392XA,"sprain of unspecified site of left knee, initial encounter"
M79669,pain in unspecified lower leg
M4722,"other spondylosis with radiculopathy, cervical region"
C541,malignant neoplasm of endometrium
N950,postmenopausal bleeding
M4184,"other forms of scoliosis, thoracic region"
M17,gonarthrosis [arthrosis of knee]
Z348,supervision of other normal pregnancy
M2554,"pain in a joint, hand"
M255,pain in joint
M23,internal derangement of knee
Z340,supervision of normal first pregnancy
O095,duration of pregnancy 34-36 completed weeks
Z35,supervision of high-risk pregnancy
Z34,supervision of normal pregnancy
M2557,"pain in a joint, ankle and foot"
M2551,"pain in a joint, shoulder region"
M2556,"pain in a joint, lower leg"
S9221,"fracture of navicular [scaphoid], foot"
Z358,supervision of other high-risk pregnancies
C829,"follicular lymphoma, unspecified"
R074,"chest pain, unspecified"
O80,single spontaneous delivery
K80,cholelithiasis
R073,other chest pain
J352,hypertrophy of adenoids
I2511,"atherosclerotic heart disease, of native coronary artery"
S5251,fracture of lower end of radius with dorsal angulation
S623,fracture of other metacarpal bone
I831,varicose veins of lower extremities with inflammation
N201,calculus of ureter
M201,hallux valgus (acquired)
D487,neoplasm of uncertain or unknown behaviour of other specified sites
K430,"ventral hernia with obstruction, without gangrene"
N202,calculus of kidney with calculus of ureter
K602,"anal fissure, unspecified"
J343,hypertrophy of nasal turbinates
L05,pilonidal cyst
O82,single delivery by caesarean section
N764,abscess of vulva
M4806,"spinal stenosis, lumbar region"
I830,varicose veins of lower extremities with ulcer
I843,external thrombosed haemorrhoids
N816,rectocele
K800,calculus of gallbladder with acute cholecystitis
K603,anal fistula
S525,fracture of lower end of radius
H652,chronic serous otitis media
L024,"cutaneous abscess, furuncle and carbuncle of limb"
K851,biliary acute pancreatitis
I84,haemorrhoids
S8353,rupture of anterior cruciate ligament
S62,fracture at wrist and hand level
I83,varicose veins of lower extremities
M674,ganglion
N832,other and unspecified ovarian cysts
J353,hypertrophy of tonsils with hypertrophy of adenoids
N602,fibroadenosis of breast
N44,torsion of testis
K40,inguinal hernia
E1133,type 2 diabetes mellitus with proliferative retinopathy
K35,acute appendicitis
N20,calculus of kidney and ureter
Z961,presence of intraocular lens
M0647,"inflammatory polyarthropathy, ankle and foot"
L028,"cutaneous abscess, furuncle and carbuncle of other sites"
K4090,"unilateral or unspecified inguinal hernia, without obstruction or gangrene, not specified as recurrent"
E1431,unspecified diabetes mellitus with background retinopathy
H269,"cataract, unspecified"
D508,other iron deficiency anaemias
K359,"acute appendicitis, unspecified"
I219,"acute myocardial infarction, unspecified"
Z349,"supervision of normal pregnancy, unspecified"
S6260,"fracture of phalanx, part unspecified"
M2555,"pain in a joint, pelvic region and thigh"
K402,"bilateral inguinal hernia, without obstruction or gangrene"
K30,dyspepsia
M2584,"other specified joint disorders, hand"
D251,intramural leiomyoma of uterus
J350,chronic tonsillitis
H609,"otitis externa, unspecified"
J329,"chronic sinusitis, unspecified"
K8010,"calculus of gallbladder with other cholecystitis, without mention of obstruction"
Z466,fitting and adjustment of urinary device
K429,umbilical hernia without obstruction or gangrene
S8318,other dislocation of knee
S6261,fracture of proximal phalanx
I832,varicose veins of lower extremities with both ulcer and inflammation
K8020,"calculus of gallbladder without cholecystitis, without mention of obstruction"
S022,fracture of nasal bones
I251,atherosclerotic heart disease
K601,chronic anal fissure
E040,nontoxic diffuse goitre
K82,other diseases of gallbladder
C73,malignant neoplasm of thyroid gland
L050,pilonidal cyst with abscess
K811,chronic cholecystitis
K42,umbilical hernia
H650,acute serous otitis media
R18,ascites
E1134,type 2 diabetes mellitus with other retinopathy
G560,carpal tunnel syndrome
I48,atrial fibrillation and flutter
K805,calculus of bile duct without cholangitis or cholecystitis
K439,ventral hernia without obstruction or gangrene
S4300,"dislocation of shoulder, unspecified"
K43,ventral hernia
S720,fracture of neck of femur
R042,haemoptysis
N80,endometriosis
S524,fracture of shafts of both ulna and radius
H310,chorioretinal scars
R221,"localised swelling, mass and lump, neck"
O200,threatened abortion
I05,rheumatic mitral valve diseases
I842,internal haemorrhoids without complication
I841,internal haemorrhoids with other complications
H250,senile incipient cataract
H045,stenosis and insufficiency of lacrimal passages
J351,hypertrophy of tonsils
Z488,other specified surgical follow-up care
H251,senile nuclear cataract
H353,degeneration of macula and posterior pole
H357,separation of retinal layers
H110,pterygium
J32,chronic sinusitis
H258,other senile cataract
H405,glaucoma secondary to other eye disorders
N811,cystocele
S860,injury of achilles tendon
K610,anal abscess
I847,unspecified thrombosed haemorrhoids
K358,"acute appendicitis, other and unspecified"
M6744,"ganglion, hand"
I849,unspecified haemorrhoids without complication
H431,vitreous haemorrhage
S6230,"fracture of other metacarpal bone(s), part unspecified"
J320,chronic maxillary sinusitis
J328,other chronic sinusitis
N850,endometrial glandular hyperplasia
Z960,presence of urogenital implants
K810,acute cholecystitis
R222,"localised swelling, mass and lump, trunk"
K600,acute anal fissure
K4020,"bilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent"
L059,pilonidal cyst without abscess
E66,obesity
R224,"localised swelling, mass and lump, lower limb"
L729,"follicular cyst of skin and subcutaneous tissue, unspecified"
M519,"intervertebral disc disorder, unspecified"
M509,"cervical disc disorder, unspecified"
M169,"coxarthrosis, unspecified"
S6252,fracture of distal phalanx of thumb
M2332,other derangements of posterior horn of medial meniscus
M512,other specified intervertebral disc displacement
S5250,"fracture of lower end of radius, unspecified"
M170,"primary gonarthrosis, bilateral"
O034,"spontaneous abortion, incomplete, without complication"
O021,missed abortion
O81,single delivery by forceps and vacuum extractor
O83,other assisted single delivery
G048,"other encephalitis, myelitis and encephalomyelitis"
G4010,"localisation-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy"
I861,scrotal varices
K37,unspecified appendicitis
M224,chondromalacia patellae
E669,"obesity, unspecified"
K449,diaphragmatic hernia without obstruction or gangrene
M200,deformity of finger(s)
S832,"tear of meniscus, current"
M750,adhesive capsulitis of shoulder
M461,"sacroiliitis, not elsewhere classified"
M4506,"ankylosing spondylitis, lumbar region"
M4326,"other fusion of spine, lumbar region"
M653,trigger finger
M171,other primary gonarthrosis
M4302,"spondylolysis, cervical region"
S8351,sprain and strain of anterior cruciate ligament
R13,dysphagia
M179,"gonarthrosis, unspecified"
K353,acute appendicitis with localised peritonitis
O009,"ectopic pregnancy, unspecified"
D059,"carcinoma in situ of breast, unspecified"
E279,"disorder of adrenal gland, unspecified"
