label,desc
0,Cholera
1,"Cholera due to Vibrio cholerae 01, biovar cholerae"
1,Classical cholera
2,"Cholera due to Vibrio cholerae 01, biovar eltor"
2,Cholera eltor
3,"Cholera, unspecified"
4,Typhoid and paratyphoid fevers
5,Typhoid fever
5,Infection due to Salmonella typhi
6,"Typhoid fever, unspecified"
7,Typhoid meningitis
8,Typhoid fever with heart involvement
8,Typhoid endocarditis
8,Typhoid myocarditis
9,Typhoid pneumonia
10,Typhoid arthritis
11,Typhoid osteomyelitis
12,Typhoid fever with other complications
13,Paratyphoid fever A
14,Paratyphoid fever B
15,Paratyphoid fever C
16,"Paratyphoid fever, unspecified"
16,Infection due to Salmonella paratyphi NOS
17,Other salmonella infections
18,Salmonella enteritis
18,Salmonellosis
19,Salmonella sepsis
20,Localized salmonella infections
21,"Localized salmonella infection, unspecified"
22,Salmonella meningitis
23,Salmonella pneumonia
24,Salmonella arthritis
25,Salmonella osteomyelitis
26,Salmonella pyelonephritis
26,Salmonella tubulo-interstitial nephropathy
27,Salmonella with other localized infection
28,Other specified salmonella infections
29,"Salmonella infection, unspecified"
30,Shigellosis
31,Shigellosis due to Shigella dysenteriae
31,Group A shigellosis [Shiga-Kruse dysentery]
32,Shigellosis due to Shigella flexneri
32,Group B shigellosis
33,Shigellosis due to Shigella boydii
33,Group C shigellosis
34,Shigellosis due to Shigella sonnei
34,Group D shigellosis
35,Other shigellosis
36,"Shigellosis, unspecified"
36,Bacillary dysentery NOS
37,Other bacterial intestinal infections
38,Enteropathogenic Escherichia coli infection
39,Enterotoxigenic Escherichia coli infection
40,Enteroinvasive Escherichia coli infection
41,Enterohemorrhagic Escherichia coli infection
42,Other intestinal Escherichia coli infections
42,Escherichia coli enteritis NOS
43,Campylobacter enteritis
44,Enteritis due to Yersinia enterocolitica
45,Enterocolitis due to Clostridium difficile
45,Foodborne intoxication by Clostridium difficile
45,Pseudomembraneous colitis
46,"Enterocolitis due to Clostridium difficile, recurrent"
47,"Enterocolitis due to Clostridium difficile, not specified as recurrent"
48,Other specified bacterial intestinal infections
49,"Bacterial intestinal infection, unspecified"
49,Bacterial enteritis NOS
50,"Other bacterial foodborne intoxications, not elsewhere classified"
51,Foodborne staphylococcal intoxication
52,Botulism food poisoning
52,Botulism NOS
52,Classical foodborne intoxication due to Clostridium botulinum
53,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
53,Enteritis necroticans
53,Pig-bel
54,Foodborne Vibrio parahaemolyticus intoxication
55,Foodborne Bacillus cereus intoxication
56,Foodborne Vibrio vulnificus intoxication
