code,index
A00,0
A00.0,1
A00.1,2
A00.9,3
A01,4
A01.0,5
A01.00,6
A01.01,7
A01.02,8
A01.03,9
A01.04,10
A01.05,11
A01.09,12
A01.1,13
A01.2,14
A01.3,15
A01.4,16
A02,17
A02.0,18
A02.1,19
A02.2,20
A02.20,21
A02.21,22
A02.22,23
A02.23,24
A02.24,25
A02.25,26
A02.29,27
A02.8,28
A02.9,29
A03,30
A03.0,31
A03.1,32
A03.2,33
A03.3,34
A03.8,35
A03.9,36
A04,37
A04.0,38
A04.1,39
A04.2,40
A04.3,41
A04.4,42
A04.5,43
A04.6,44
A04.7,45
A04.71,46
A04.72,47
A04.8,48
A04.9,49
A05,50
A05.0,51
A05.1,52
A05.2,53
A05.3,54
A05.4,55
A05.5,56
A05.8,57
A05.9,58
A06,59
A06.0,60
A06.1,61
A06.2,62
A06.3,63
A06.4,64
A06.5,65
A06.6,66
A06.7,67
A06.8,68
A06.81,69
A06.82,70
A06.89,71
A06.9,72
A07,73
A07.0,74
A07.1,75
A07.2,76
A07.3,77
A07.4,78
A07.8,79
A07.9,80
A08,81
A08.0,82
A08.1,83
A08.11,84
A08.19,85
A08.2,86
A08.3,87
A08.31,88
A08.32,89
A08.39,90
A08.4,91
A08.8,92
A09,93
A15,94
A15.0,95
A15.4,96
A15.5,97
A15.6,98
A15.7,99
A15.8,100
A15.9,101
A17,102
A17.0,103
A17.1,104
A17.8,105
A17.81,106
A17.82,107
A17.83,108
A17.89,109
A17.9,110
A18,111
A18.0,112
A18.01,113
A18.02,114
A18.03,115
A18.09,116
A18.1,117
A18.10,118
A18.11,119
A18.12,120
A18.13,121
A18.14,122
A18.15,123
A18.16,124
A18.17,125
A18.18,126
A18.2,127
A18.3,128
A18.31,129
A18.32,130
A18.39,131
A18.4,132
A18.5,133
A18.50,134
A18.51,135
A18.52,136
A18.53,137
A18.54,138
A18.59,139
A18.6,140
A18.7,141
A18.8,142
A18.81,143
A18.82,144
A18.83,145
A18.84,146
A18.85,147
A18.89,148
A19,149
A19.0,150
A19.1,151
A19.2,152
A19.8,153
A19.9,154
A20,155
A20.0,156
A20.1,157
A20.2,158
A20.3,159
A20.7,160
A20.8,161
A20.9,162
A21,163
A21.0,164
A21.1,165
A21.2,166
A21.3,167
A21.7,168
A21.8,169
A21.9,170
A22,171
A22.0,172
A22.1,173
A22.2,174
A22.7,175
A22.8,176
A22.9,177
A23,178
A23.0,179
A23.1,180
A23.2,181
A23.3,182
A23.8,183
A23.9,184
A24,185
A24.0,186
A24.1,187
A24.2,188
A24.3,189
A24.9,190
A25,191
A25.0,192
A25.1,193
A25.9,194
A26,195
A26.0,196
A26.7,197
A26.8,198
A26.9,199
A27,200
A27.0,201
A27.8,202
A27.81,203
A27.89,204
A27.9,205
A28,206
A28.0,207
A28.1,208
A28.2,209
A28.8,210
A28.9,211
A30,212
A30.0,213
A30.1,214
A30.2,215
A30.3,216
A30.4,217
A30.5,218
A30.8,219
A30.9,220
A31,221
A31.0,222
A31.1,223
A31.2,224
A31.8,225
A31.9,226
A32,227
A32.0,228
A32.1,229
A32.11,230
A32.12,231
A32.7,232
A32.8,233
A32.81,234
A32.82,235
A32.89,236
A32.9,237
A33,238
A34,239
A35,240
A36,241
A36.0,242
A36.1,243
A36.2,244
A36.3,245
A36.8,246
A36.81,247
A36.82,248
A36.83,249
A36.84,250
A36.85,251
A36.86,252
