index,code
0,A00
1,A00.0
2,A00.1
3,A00.9
4,A01
5,A01.0
6,A01.00
7,A01.01
8,A01.02
9,A01.03
10,A01.04
11,A01.05
12,A01.09
13,A01.1
14,A01.2
15,A01.3
16,A01.4
17,A02
18,A02.0
19,A02.1
20,A02.2
21,A02.20
22,A02.21
23,A02.22
24,A02.23
25,A02.24
26,A02.25
27,A02.29
28,A02.8
29,A02.9
30,A03
31,A03.0
32,A03.1
33,A03.2
34,A03.3
35,A03.8
36,A03.9
37,A04
38,A04.0
39,A04.1
40,A04.2
41,A04.3
42,A04.4
43,A04.5
44,A04.6
45,A04.7
46,A04.71
47,A04.72
48,A04.8
49,A04.9
50,A05
51,A05.0
52,A05.1
53,A05.2
54,A05.3
55,A05.4
56,A05.5
57,A05.8
58,A05.9
59,A06
60,A06.0
61,A06.1
62,A06.2
63,A06.3
64,A06.4
65,A06.5
66,A06.6
67,A06.7
68,A06.8
69,A06.81
70,A06.82
71,A06.89
72,A06.9
73,A07
74,A07.0
75,A07.1
76,A07.2
77,A07.3
78,A07.4
79,A07.8
80,A07.9
81,A08
82,A08.0
83,A08.1
84,A08.11
85,A08.19
86,A08.2
87,A08.3
88,A08.31
89,A08.32
90,A08.39
91,A08.4
92,A08.8
93,A09
94,A15
95,A15.0
96,A15.4
97,A15.5
98,A15.6
99,A15.7
100,A15.8
101,A15.9
102,A17
103,A17.0
104,A17.1
105,A17.8
106,A17.81
107,A17.82
108,A17.83
109,A17.89
110,A17.9
111,A18
112,A18.0
113,A18.01
114,A18.02
115,A18.03
116,A18.09
117,A18.1
118,A18.10
119,A18.11
120,A18.12
121,A18.13
122,A18.14
123,A18.15
124,A18.16
125,A18.17
126,A18.18
127,A18.2
128,A18.3
129,A18.31
130,A18.32
131,A18.39
132,A18.4
133,A18.5
134,A18.50
135,A18.51
136,A18.52
137,A18.53
138,A18.54
139,A18.59
140,A18.6
141,A18.7
142,A18.8
143,A18.81
144,A18.82
145,A18.83
146,A18.84
147,A18.85
148,A18.89
149,A19
150,A19.0
151,A19.1
152,A19.2
153,A19.8
154,A19.9
155,A20
156,A20.0
157,A20.1
158,A20.2
159,A20.3
160,A20.7
161,A20.8
162,A20.9
163,A21
164,A21.0
165,A21.1
166,A21.2
167,A21.3
168,A21.7
169,A21.8
170,A21.9
171,A22
172,A22.0
173,A22.1
174,A22.2
175,A22.7
176,A22.8
177,A22.9
178,A23
179,A23.0
180,A23.1
181,A23.2
182,A23.3
183,A23.8
184,A23.9
185,A24
186,A24.0
187,A24.1
188,A24.2
189,A24.3
190,A24.9
191,A25
192,A25.0
193,A25.1
194,A25.9
195,A26
196,A26.0
197,A26.7
198,A26.8
199,A26.9
200,A27
201,A27.0
202,A27.8
203,A27.81
204,A27.89
205,A27.9
206,A28
207,A28.0
208,A28.1
209,A28.2
210,A28.8
211,A28.9
212,A30
213,A30.0
214,A30.1
215,A30.2
216,A30.3
217,A30.4
218,A30.5
219,A30.8
220,A30.9
221,A31
222,A31.0
223,A31.1
224,A31.2
225,A31.8
226,A31.9
227,A32
228,A32.0
229,A32.1
230,A32.11
231,A32.12
232,A32.7
233,A32.8
234,A32.81
235,A32.82
236,A32.89
237,A32.9
238,A33
239,A34
240,A35
241,A36
242,A36.0
243,A36.1
244,A36.2
245,A36.3
246,A36.8
247,A36.81
248,A36.82
249,A36.83
250,A36.84
251,A36.85
252,A36.86
253,A36.89
254,A36.9
255,A37
256,A37.0
257,A37.00
258,A37.01
259,A37.1
260,A37.10
261,A37.11
262,A37.8
263,A37.80
264,A37.81
265,A37.9
266,A37.90
267,A37.91
268,A38
269,A38.0
270,A38.1
271,A38.8
272,A38.9
273,A39
274,A39.0
