label,text
0,"I have been diagnosed with dyspnea, a condition characterized by difficulty breathing."
0,My dyspnea symptoms include shortness of breath and difficulty catching my breath.
0,"I struggle with dyspnea, a condition that affects my ability to breathe properly."
0,"I have been dealing with dyspnea for some time, which affects my ability to breathe comfortably."
0,"My dyspnea diagnosis has been a difficult journey, as it affects my ability to breathe."
0,I experience difficulty breathing and shortness of breath due to my dyspnea.
0,I have been diagnosed with dyspnea and it affects my ability to breathe comfortably.
0,My dyspnea symptoms make it difficult for me to engage in physical activity.
0,"I have been struggling with dyspnea for some time, causing difficulty breathing."
0,My dyspnea has caused me to experience difficulty breathing and shortness of breath.
0,"I am dealing with dyspnea, a condition that affects my ability to breathe."
0,"I have been diagnosed with dyspnea, a condition that affects my ability to breathe comfortably."
0,My dyspnea symptoms include difficulty breathing and shortness of breath.
0,I have dyspnea which results in difficulty breathing.
0,"I have been dealing with dyspnea, a condition that affects my ability to breathe properly."
0,My dyspnea has caused difficulty in breathing and shortness of breath.
0,"I have been diagnosed with dyspnea, a condition that affects my ability to breathe."
0,"I struggle with dyspnea, which affects my ability to breathe comfortably."
0,"My dyspnea diagnosis has been difficult, as it affects my ability to engage in physical activity."
0,"I have been struggling with dyspnea for some time, which affects my ability to breathe comfortably."
0,I have trouble catching my breath.
0,I feel like I can't get enough air.
0,I feel short of breath frequently.
0,Breathing is a struggle for me.
0,I feel like I'm gasping for air.
0,I can't get a deep breath.
0,I feel like I'm suffocating.
0,I have to take shallow breaths because deep breaths are too hard.
0,I feel like I can't get enough oxygen.
0,I feel like I have a constant tightness in my chest.
1,"I have been diagnosed with epistaxis, a condition characterized by nosebleeds."
1,My epistaxis symptoms include frequent nosebleeds and difficulty stopping the bleeding.
1,"I struggle with epistaxis, a condition that affects my nose and causes nosebleeds."
1,"I have been dealing with epistaxis for some time, which affects my nose and causes frequent nosebleeds."
1,I experience frequent nosebleeds and difficulty stopping the bleeding due to my epistaxis.
1,"I have been diagnosed with epistaxis and it affects my nose, causing frequent nosebleeds."
1,My epistaxis symptoms make it difficult for me to engage in my daily activities.
1,"I have been struggling with epistaxis for some time, causing frequent nosebleeds."
1,My epistaxis has caused me to experience frequent nosebleeds and difficulty stopping the bleeding.
1,"I am dealing with epistaxis, a condition that affects my nose and causes nosebleeds."
1,"I have been diagnosed with epistaxis, a condition that affects my nose and causes frequent nosebleeds."
1,My epistaxis symptoms include frequent nosebleeds and difficulty stopping the bleeding.
1,I have epistaxis which results in frequent nosebleeds.
1,"I have been dealing with epistaxis, a condition that affects my nose and causes nosebleeds."
1,My epistaxis has caused frequent nosebleeds and difficulty stopping the bleeding.
1,"I have been diagnosed with epistaxis, a condition that affects my nose and causes nosebleeds."
1,"I struggle with epistaxis, which affects my nose and causes frequent nosebleeds."
1,"My epistaxis diagnosis has been difficult, as it affects my daily activities."
1,"I have been struggling with epistaxis for some time, which affects my nose and causes frequent nosebleeds."
1,I frequently have nosebleeds.
1,I have trouble with bleeding from my nose.
1,My nose bleeds easily.
1,I have to constantly deal with a bloody nose.
1,I have frequent bloody discharge from my nose.
1,I have to carry tissues with me at all times because of my nosebleeds.
1,I have blood coming out of my nose on a regular basis.
1,I have a hard time controlling my nosebleeds.
1,I frequently have blood coming out of my nostrils.
1,I have a tendency to have bloody noses.
2,I am feeling quite fatigued today.
2,I have been experiencing fatigue for the past few days.
2,My fatigue is making it hard for me to focus.
2,I have a constant feeling of fatigue that won't go away.
