Input.LABEL,Input.SIMPLE_NAME,Input.SYMPTOM,Input.MESSAGE,Answer.text_answer,Level,ChatGPT or Manual
abdominal bloating,,,Provide me with 15 sentences to indicate abdominal bloating,I look like I'm six months pregnant because of all the bloating.,1,ChatGPT
abdominal bloating,,,Provide me with 15 sentences to indicate abdominal bloating,It feels like there's a balloon in my abdomen.,1,ChatGPT
abdominal bloating,,,Provide me with 15 sentences to indicate abdominal bloating,My clothes are really tight around my waist because of the bloating.,1,ChatGPT
abdominal bloating,,,Provide me with 15 sentences to indicate abdominal bloating,I can't seem to get rid of this persistent bloating no matter what I do.,1,ChatGPT
abdominal bloating,,,Provide me with 15 sentences to indicate abdominal bloating,I can't button my jeans because of the bloating.,1,ChatGPT
abdominal bloating,,,Provide me with 15 sentences to indicate abdominal bloating,I feel like I have a tumor in my abdomen because it's so swollen.,1,ChatGPT
abdominal bloating,,,Provide me with 15 sentences to indicate abdominal bloating,"My stomach is so bloated, I look pregnant.",1,ChatGPT
abdominal bloating,,,Give me 15 sentences to indicate you have abdominal bloating without mentioning abdominal bloating,My stomach feels swollen and full.,2,ChatGPT
abdominal bloating,,,Give me 15 sentences to indicate you have abdominal bloating without mentioning abdominal bloating,I can't button my pants due to abdominal discomfort.,2,ChatGPT
abdominal bloating,,,Give me 15 sentences to indicate you have abdominal bloating without mentioning abdominal bloating,I feel like I have a food baby even though I haven't eaten much.,2,ChatGPT
abdominal bloating,,,Give me 15 sentences to indicate you have abdominal bloating without mentioning abdominal bloating,I have a distended abdomen.,2,ChatGPT
abdominal bloating,,,Give me 15 sentences to indicate you have abdominal bloating without mentioning abdominal bloating,My belly looks round and puffy.,2,ChatGPT
abdominal bloating,,,Give me 15 sentences to indicate you have abdominal bloating without mentioning abdominal bloating,My clothes feel tight around my midsection.,2,ChatGPT
abdominal bloating,,,Give me 15 sentences to indicate you have abdominal bloating without mentioning abdominal bloating,I have a bloated feeling in my stomach.,2,ChatGPT
abdominal bloating,,,Give me 15 sentences to indicate you have abdominal bloating without mentioning abdominal bloating,My abdomen feels tight and hard to the touch.,2,ChatGPT
abdominal bloating,,,Give me 15 sentences to indicate you have abdominal bloating without mentioning abdominal bloating,I have excessive gas and belching.,2,ChatGPT
abdominal bloating,,,Give me 15 sentences to indicate you have abdominal bloating without mentioning abdominal bloating,I feel like I have a lot of pressure in my stomach.,2,ChatGPT
abdominal mass,,,Provide me with 15 sentences to indicate abdominal mass,There is a noticeable bulge in the abdomen.,1,ChatGPT
abdominal mass,,,Provide me with 15 sentences to indicate abdominal mass,There is an abdominal mass that can be felt upon examination.,1,ChatGPT
abdominal mass,,,Provide me with 15 sentences to indicate abdominal mass,There is a palpable mass in the lower abdomen.,1,ChatGPT
abdominal mass,,,Provide me with 15 sentences to indicate abdominal mass,There is a noticeable swelling in the abdominal region.,1,ChatGPT
abdominal mass,,,Provide me with 15 sentences to indicate abdominal mass,There is an abdominal mass that is visible when the patient stands up.,1,ChatGPT
abdominal mass,,,Give me 15 sentences to tell someone that I'm suffering from abdominal mass without mentioning the word abdominal mass,There seems to be a lump or swelling in my abdomen.,2,ChatGPT
abdominal mass,,,Give me 15 sentences to tell someone that I'm suffering from abdominal mass without mentioning the word abdominal mass,My stomach feels swollen or distended.,2,ChatGPT
abdominal mass,,,Give me 15 sentences to tell someone that I'm suffering from abdominal mass without mentioning the word abdominal mass,I have noticed a bulge or protrusion in my stomach.,2,ChatGPT
abdominal mass,,,Give me 15 sentences to tell someone that I'm suffering from abdominal mass without mentioning the word abdominal mass,I have noticed an abnormal bulge or swelling in my stomach area.,2,ChatGPT
abdominal mass,,,Give me 15 sentences to tell someone that I'm suffering from abdominal mass without mentioning the word abdominal mass,I have been experiencing bloating or swelling in my stomach.,2,ChatGPT
abdominal mass,,,Give me 15 sentences to tell someone that I'm suffering from abdominal mass without mentioning the word abdominal mass,I have noticed a change in the shape of my abdomen.,2,ChatGPT
abdominal mass,,,Give me 15 sentences to tell someone that I'm suffering from abdominal mass without mentioning the word abdominal mass,I have noticed a visible protrusion or bulge in my abdominal area.,2,ChatGPT
abdominal mass,,,Give me 15 sentences to tell someone that I'm suffering from abdominal mass without mentioning the word abdominal mass,There is a noticeable increase in the size of my abdomen.,2,ChatGPT
abdominal mass,,,Give me 15 sentences to tell someone that I'm suffering from abdominal mass without mentioning the word abdominal mass,I have been experiencing bloating or swelling in my abdomen.,2,ChatGPT
abdominal mass,,,Give me 15 sentences to tell someone that I'm suffering from abdominal mass without mentioning the word abdominal mass,There is a lump in my stomach area,2,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,I have been experiencing abdominal pain.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,I have a persistent pain in my abdomen.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,My stomach hurts and I have abdominal pain.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,I have been suffering from abdominal discomfort.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,I have an issue with intense abdominal pain.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,I need medical attention for my abdominal pain.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,I have a recurring problem with abdominal discomfort.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,I'm struggling with persistent abdominal pain.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,I have a concern about my abdominal discomfort.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,I need to see a doctor about my abdominal pain.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,I have an ongoing issue with abdominal pain.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,I'm experiencing abdominal pain that is not normal for me.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,I have a history of abdominal discomfort and need to take steps to prevent it.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,I need to address my abdominal pain to maintain good health.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,I'm worried about my abdominal pain and need medical attention.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,I have been dealing with abdominal pain for a while now.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,I need to find a solution for my persistent abdominal discomfort.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,I have an unexpected issue with abdominal pain.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,I need to get this checked out as my abdominal pain is persistent and intense.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain mentioning the word abdominal pain,I'm concerned about my health due to my ongoing abdominal pain.,1,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain without mentioning the word abdominal pain,I am experiencing discomfort in my midsection.,2,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain without mentioning the word abdominal pain,There's a discomfort in my tummy.,2,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain without mentioning the word abdominal pain,My gut is feeling sore.,2,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain without mentioning the word abdominal pain,I am having discomfort in the abdominal region.,2,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain without mentioning the word abdominal pain,My belly is hurting.,2,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain without mentioning the word abdominal pain,I am having discomfort in my mid-section.,2,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain without mentioning the word abdominal pain,There's pain in my gut.,2,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain without mentioning the word abdominal pain,My tummy is hurting.,2,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain without mentioning the word abdominal pain,I am experiencing pain in the abdominal area.,2,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain without mentioning the word abdominal pain,I have discomfort in my lower torso.,2,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain without mentioning the word abdominal pain,There's a throbbing pain in my midsection.,2,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain without mentioning the word abdominal pain,I am having discomfort in my abdominal cavity.,2,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain without mentioning the word abdominal pain,My tummy feels sore.,2,ChatGPT
abdominal pain,,,Give me 20 sentences to say I have abdominal pain without mentioning the word abdominal pain,I am having discomfort in my gut.,2,ChatGPT
