Input.LABEL,Input.SIMPLE_NAME,Input.SYMPTOM,Input.MESSAGE,Answer.text_answer,Level,ChatGPT or Manual
abdominal bloating,,,,I feel my belly bloated every time I drink milk.,1,Manual
abdominal bloating,,,,"I am suffering from abdominal bloating, my belly is always swollen.",1,Manual
abdominal bloating,,,,"My abdomen has been swollen for the past couple of days, I don't know why",1,Manual
abdominal bloating,,,,I feel like my stomach is sticking out further than usual.,2,Manual
abdominal bloating,,,,My stomach feels heavy and full.,2,Manual
abdominal bloating,,,,I have a lot of heaviness and discomfort in my belly.,2,Manual
abdominal mass,,,,I feel a firm mass in my belly.,1,Manual
abdominal mass,,,,"I was playing with my kid yesterday when I felt a bulge in his abdomen on the right side, I am worried.",1,Manual
abdominal mass,,,,I can feel an abdominal mass in the left region of my belly.,1,Manual
abdominal mass,,,,I feel like there's a ball in my belly,2,Manual
abdominal mass,,,,"When I touch my tummy, I feel a bulge",2,Manual
abdominal mass,,,,There's a protruded skin on my abdomen,2,Manual
abdominal pain,,,,My belly hurts and it increases when I eat,2,Manual
abdominal pain,,,,I have stomach pain that is continuous,2,Manual
abdominal pain,,,,I have a discomfort in my abdomen,2,Manual
abdominal pain,,,,I am suffering from abdominal pain,1,Manual
abdominal pain,,,,I have been having abdominal pain for one week.,1,Manual
abdominal pain,,,,I am experiencing abdominal pain and it keeps getting worse,1,Manual
abdominal tenderness,,,,My son yells when I press on the right lower side of his abdomen,1,Manual
abdominal tenderness,,,,I feel my belly tender whenever I touch it.,1,Manual
abdominal tenderness,,,,"I got abdominal tenderness on the lower area, it is very painful.",1,Manual
abdominal tenderness,,,,My abdomen is hard to the touch.,2,Manual
abdominal tenderness,,,,"I can't touch my belly, it hurts",2,Manual
abdominal tenderness,,,,My abdomen feels achy when I touch it,2,Manual
absence of nocturnal penile tumescence,,,,My penis doesn't erect in the morning,2,Manual
absence of nocturnal penile tumescence,,,,I'm not getting the morning wood like before,2,Manual
absence of nocturnal penile tumescence,,,,I have an absence of the morning erection,2,Manual
absence of nocturnal penile tumescence,,,,I am suffering from the absence of nocturnal penile tumescence,1,Manual
absence of nocturnal penile tumescence,,,,I am worried about the absence of nocturnal penile tumescence for one week.,1,Manual
absence of nocturnal penile tumescence,,,,I am experiencing absence of nocturnal penile tumescence and it feels wrong,1,Manual
alternation between diarrhea and constipation,,,,I'm facing a mix of both diarrhea and constipation,2,Manual
alternation between diarrhea and constipation,,,,My body goes back and forth between diarrhea and constipation,2,Manual
alternation between diarrhea and constipation,,,,I started having constipation and then now I have a watery stool,2,Manual
alternation between diarrhea and constipation,,,,I am suffering from an alternation between diarrhea and constipation,1,Manual
alternation between diarrhea and constipation,,,,I am worried about the alternation between diarrhea and constipation for one week.,1,Manual
alternation between diarrhea and constipation,,,,I am experiencing an alternation between diarrhea and constipation and it feels uncomfortable,1,Manual
amenorrhea,,,,I am suffering from amenorrhea,1,Manual
amenorrhea,,,,I have been having amenorrhea for three months.,1,Manual
amenorrhea,,,,I am experiencing amenorrhea and it is not resolved by medications.,1,Manual
amenorrhea,,,,I missed one menstrual period last month not from pregnancy,2,Manual
amenorrhea,,,,I didn't get my period and it's annoying,2,Manual
amenorrhea,,,,"I'm not getting my periods even though I've been through puberty,",2,Manual
anal mass,,,,I am feeling a mass at my anus,1,Manual
anal mass,,,,I feel uncomfortable due to the anal mass,1,Manual
anal mass,,,,I find hard times sitting down because of the anal mass.,1,Manual
anal mass,,,,I have a lump in my anus,2,Manual
anal mass,,,,I feel a rectal mass that is painful,2,Manual
anal mass,,,,I can feel a red bulge in my anal area,2,Manual
anal pain,,,,I am feeling a pain at my anus,1,Manual
anal pain,,,,I feel uncomfortable due to the anal pain,1,Manual
anal pain,,,,I find hard times sitting down because of the anal pain.,1,Manual
anal pain,,,,I have a pain in my anus,2,Manual
anal pain,,,,I feel a rectal pain that is accompanied with rash,2,Manual
anal pain,,,,My anal area hurts all the time,2,Manual
anemia,,,,I am looking for possible causes of my anemia,1,Manual
anemia,,,,I am suffering from anemia despite good eating habits,1,Manual
anemia,,,,My doctor said that I have anemia as per the lab results show,1,Manual
anemia,,,,My body does not have enough healthy red blood cells,2,Manual
anemia,,,,I have low levels of hemoglobin in my blood,2,Manual
anemia,,,,I have low levels of healthy RBCs,2,Manual
angioedema,,,,My face is swollen and my eyes are so puffy due to angioedema.,1,Manual
angioedema,,,,"I got difficulties swallowing, and my neck is getting wider. I think it is due to angioedema.",1,Manual
angioedema,,,,"I am suffering angioedema, as my lips are red and swollen.",1,Manual
angioedema,,,,My lips look puffy and abnormal,2,Manual
angioedema,,,,"I can't open my eyes, they're very swollen",2,Manual
angioedema,,,,"I hate the shape of my face now, everything looks enlarged",2,Manual
anisocoria,,,,The small black dots in the center of my eyes are unequal,2,Manual
anisocoria,,,,I have unequal pupil sizes that is noticeable,2,Manual
anisocoria,,,,The pupils of my eyes are not of the same size,2,Manual
anisocoria,,,,I am suffering from anisocoria,1,Manual
anisocoria,,,,I was told that I have anisocoria,1,Manual
anisocoria,,,,I am experiencing anisocoria and I can't tell what to do,1,Manual
ankle bruising,,,,I am suffering from ankle bruising,1,Manual
ankle bruising,,,,I found my ankle has bruises and it looks scary,1,Manual
ankle bruising,,,,I am worried about my ankle bruising and I can't tell what to do,1,Manual
ankle bruising,,,,I can see a blue-purple spot at my ankle,2,Manual
ankle bruising,,,,I have bluish skin next to my ankle area,2,Manual
ankle bruising,,,,I feel I have a hit-like sign on my ankle,2,Manual
anorexia or loss of appetite,,,,I've been feeling nauseous and not hungry at all.,2,Manual
anorexia or loss of appetite,,,,I've been feeling full very quickly when I eat.,2,Manual
anorexia or loss of appetite,,,,"I've been having trouble getting hungry, even when I haven't eaten for a while.",2,Manual
anorexia or loss of appetite,,,,"My teenage daughter is losing weight due to anorexia, she eats very little.",1,Manual
anorexia or loss of appetite,,,,I recently started to eat minimally due to anorexia and loss of appetite.,1,Manual
anorexia or loss of appetite,,,,"I am skipping meals, I have lost the appetite.",1,Manual
anxiety,,,,I've been having trouble speaking in front of people.,2,Manual
anxiety,,,,It's hard to control my worries and they're taking over my life.,2,Manual
anxiety,,,,I feel very stressed lately and unable to control my anger due to anxiety,1,Manual
