Index,Input.LABEL,Input.SIMPLE_NAME,Input.SYMPTOM,Input.MESSAGE,Answer.text_answer,Level
0,abdominal bloating,Belly Feels Full And Tight,abdominal bloating,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I keep waking up very bloated.,1
1,abdominal bloating,Belly Feels Full And Tight,abdominal bloating,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My stomach is super bloated and not from eating or my period.,1
2,abdominal bloating,Belly Feels Full And Tight,abdominal bloating,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"Lately, I’ve been experiencing abdominal bloating with a fever. This is not normal for me at all.",1
3,abdominal bloating,Belly Feels Full And Tight,abdominal bloating,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have been experiencing a bloated feeling in my stomach that does not go away even after relieving myself,1
4,abdominal bloating,Belly Feels Full And Tight,abdominal bloating,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My stomach seems really bloated lately. It feels full and uncomfortable.,1
5,abdominal bloating,Belly Feels Full And Tight,abdominal bloating,Please DO NOT include the symptom itself in your answer. Try to think of another way to describe the feeling.,"My stomach is super bloated, even when I haven't recently eaten.",3
6,abdominal bloating,Belly Feels Full And Tight,abdominal bloating,Please DO NOT include the symptom itself in your answer. Try to think of another way to describe the feeling.,My stomach is swollen.,3
7,abdominal bloating,Belly Feels Full And Tight,abdominal bloating,Please DO NOT include the symptom itself in your answer. Try to think of another way to describe the feeling.,My stomach has been bloated and swollen for days now. It feels tight and uncomfortable.,3
8,abdominal bloating,Belly Feels Full And Tight,abdominal bloating,Please DO NOT include the symptom itself in your answer. Try to think of another way to describe the feeling.,"When I eat or drink, my stomach gets larger than usual.",3
9,abdominal bloating,Belly Feels Full And Tight,abdominal bloating,Please DO NOT include the symptom itself in your answer. Try to think of another way to describe the feeling.,Feeling my stomach is always full. It's pressure around my stomach when I lay down on the couch.,3
10,abdominal bloating,Belly Feels Full And Tight,feeling of fullness in the abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"My belly feels too full all the time and I can't eat anything because my stomach is full, bloated, tight.",2
11,abdominal bloating,Belly Feels Full And Tight,feeling of fullness in the abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I feel really full in my abdomen even though I haven't eaten.,2
12,abdominal bloating,Belly Feels Full And Tight,feeling of fullness in the abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My stomach feels really tight and full.,2
14,abdominal bloating,Belly Feels Full And Tight,feeling of fullness in the abdomen,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My belly feels bloated and I think that I am having trouble pooping. I can't seem to release gas nor waste.,2
15,abdominal bloating,Belly Feels Full And Tight,overinflated belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My belly feels overly inflated like a balloon.,2
16,abdominal bloating,Belly Feels Full And Tight,overinflated belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"After I eat food, my belly feels full and tight.",2
17,abdominal bloating,Belly Feels Full And Tight,overinflated belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,The last couple days my belly has been feeling extra full and tight and it's making me uncomfortable.,2
18,abdominal bloating,Belly Feels Full And Tight,overinflated belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have been feeling more dehydrated than usual lately and have been increasing my water intake but now I'm noticing an overinflated belly after my meals. I feel discomfort when I sit or lay down for long periods of time. I even go to the gym and don't see a difference after my workout.,2
19,abdominal bloating,Belly Feels Full And Tight,overinflated belly,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"When I eat or drink, my stomach feels enlarged.",2
20,abdominal bloating,Belly Feels Full And Tight,feeling gassy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have needed to pass gas more frequently than usual.,2
21,abdominal bloating,Belly Feels Full And Tight,feeling gassy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,Lately I have been feeling gassy.,2
22,abdominal bloating,Belly Feels Full And Tight,feeling gassy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I am passing gas more often.,2
23,abdominal bloating,Belly Feels Full And Tight,feeling gassy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,Im feeling a tightness in my stomach. i've been gassy since yesterday. me and my friends had a bet on who can eat the most beans and i won. i ate half a pot. i knew i would be gassy but this hasn't gone away and its been almost a day.,2
24,abdominal bloating,Belly Feels Full And Tight,feeling gassy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have been feeling a little gassy. I constantly fart and burp after feeling bubbles shift. I feel like I am bloated and need to expel air from by belly.,2
25,abdominal bloating,Belly Feels Full And Tight,belly feels full and tight,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,"Without even eating, my belly has been feeling full and tight.",2
26,abdominal bloating,Belly Feels Full And Tight,belly feels full and tight,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,After I eat my belly has been feeling very full and tight and causing discomfort.,2
27,abdominal bloating,Belly Feels Full And Tight,belly feels full and tight,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,My stomach feels really full and tight.,2
28,abdominal bloating,Belly Feels Full And Tight,belly feels full and tight,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,Before I went to bed my belly felt really full and tight.,2
29,abdominal bloating,Belly Feels Full And Tight,belly feels full and tight,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have trouble going to the toilet and my stomach is in constant pain. It is tight and sometimes I feel there is no way to relieve it. The more I eat the more it feels full and it gets worse.,2
30,abdominal bloating,Belly Feels Full And Tight,gassy,Please make sure to include the symptom in your answer. Try to incorporate the terms in your entry.,I have been extra gassy lately.,2
