label,text
fatigue,I got home walking and I feel tired.
headache,I just have a really bad headache.
tachycardia,"Sometimes when I'm sitting relaxing, not doing anything, I notice my heart beating really fast for no reason."
heartburn,"After I eat, I get this burning pain in my stomach. Sometimes it causes me to throw up in my mouth."
mass at lower extremities,I have a mass on my hip and it makes it difficult to walk.
mass at lower extremities,lump at hip
dyspnea,dyspnea
fatigue,"Lately I'm having no energy for anything, even strong coffee doesn't help."
weight loss,I have been eating more than my recommended caloric intake and I still cannot gain weight.
fatigue,I have no energy and it feels like my whole body is completely sore
headache,It's been hard for me to concentrate because I've been feeling forehead tension
heartburn,There are times when I experience acid reflux after having a delicious meal.
headache,head ache
headache,Doctor I have a headache that is not going away.  I have taken over the counter meds for it but it just won't quit.
fatigue,lethargy
headache,head hurts
heartburn,Most of the time after I eat or drink something a get heartburn.
dyspnea,I feel like I am in need of oxygen.
fatigue,"I started this new medication and I am still having the same result..... Tiredness, no energy."
weight loss,sudden weight loss
weight loss,I've noticed I've started losing weight. No matter how much I eat I'm not gaining weight.
dyspnea,I have a hard time breathing even when I'm not doing any exercises.
dyspnea,"I feel difficulty while Breathing. I was cleaning the dark, dirty room. I sneezed often."
fever,I am running a fever and I am cold and I can't stop shaking.
headache,forehead pressure
mass at lower extremities,I noticed a lump in my leg this morning while I was shaving my legs.
weight loss,I can eat all day and lay around but I can't put on a single pound
epistaxis,I wiped my nose and there was blood on the kleenex.
headache,Certain lights and colors is making the left side of my head hurt.
mass at lower extremities,I have a mass at legs.I feel numness in legs. I do not know the reason.
fatigue,"I have been tired, like extremely lethargic lately."
epistaxis,nasal hemorrhage
fatigue,I feel like I don't get enough sleep.  When I wake up in the morning I can't get going.  I feel sluggish and slow and I have a hard time walking around or doing chores.
dyspnea,I am having trouble breathing in.
mass at lower extremities,mass at lower extremities
fatigue,Sometimes i'm do lot of work so I get feeling tiredness in my body.
fever,I am experiencing very high fevers at night that are making it hard to sleep
weight loss,"Over the past few months, I have noticed that my clothes are much looser on me than before. I don't fit in anything, and I don't recognize my body in the mirror."
fever,I started feeling ill a few days ago and now I’m feeling febrile.
dyspnea,I am having a hard time breathing.
fatigue,feeling weak
heartburn,Discomfort in throat because of climate.
fatigue,lazy
polydipsia,doctor I'm feeling bad because I'm feeling bad intake because of the volume of water.
weight loss,I have not changed my diet or exercise habits but I keep losing weight.
mass at lower extremities,"My legs have large lumps on them, probably from bumping them on my bed frame"
weight loss,inappropriate weight loss
polydipsia,"I am always dehydrated, my throat is sore, and am always thirsty."
weight loss,unintentional weight loss
fatigue,The past few weeks I have just been feeling weak. I can't seem to find the energy to anything and if I do start something I can not finish because I just feel to weak and need to rest.
polydipsia,chronic ingestion of large volumes of water
fatigue,Over the past month I have experienced an increase in overall bodyaches.
tachycardia,rapid heart rate
weight loss,"I have been monitoring my calories lately, and I can't figure out why my weight is fluctuating like it is. I have been experiencing weight loss, which has been unintentional: I actually have been eating to gain weight. My diet journal confirms this increase in calories."
weight loss,"I keep losing weight, and I am eating normally"
fatigue,"when I do a repeated movement, tiredness and pain in my legs come."
fatigue,I have a lot of work but I feel extreme laziness.
headache,forehead tension
headache,its painful at head
polydipsia,I'm always thirsty and no amount of drinks give me relief.
polydipsia,I constantly need to drink. I feel that my mouth is very dry. I drink more than 5 liters per day. I just can't stop drinking.
fatigue,I have a lot to do but I just feel so lazy.
tachycardia,tachycardia
fever,"I've had this fever for about two days, and nothing I've done has helped. Tylenol isn't helping."
dyspnea,My chest feels heavy like I have something squeezing the breath out of me.
epistaxis,I have been having problems with my nose bleeding lately and can't stop it.
epistaxis,I have severe nasal hemorrhage a few times a month seemingly out of nowhere.
headache,I have been having frequent migraines.
fatigue,I am experiencing general malaise.
headache,"I feel this tension in my forehead, and it really hurts and I don't know why."
weight loss,Doctor i seem to eat all the time but i can't gain any weight not matter what i eat
heartburn,"Over the last few days, i've felt a discomfort in my throat. I think I'm getting a cold."
fatigue,"I didn't travel anywhere, just I am in house. But even though I feel so lassitude. I could not do anything actively."
fever,I am so hot and tired.
weight loss,cannot gain weight
dyspnea,"Whenever, I try to breath, it feels like I'm being suffocated because I just can't get enough air into my lungs."
fever,febrile
heartburn,heartburn
epistaxis,I donâ€™t know what happened but I woke up with a bloody nose.
headache,My forehead has felt really tight lately and I don't know why. It gives me a headache.
fever,Dr. my fever is high.  I can't seem to get it down but it's been high since yesterday afternoon.
headache,pain in head
epistaxis,Every few days before I go to bed I will start to experience some bleeding from the nose.
fatigue,I feel tired all over.
fatigue,I just always feel tired when walking around and don't want to do anything.
epistaxis,blood loss from the nose
polydipsia,excess drinking
headache,It makes me think of calling the doctor when I start to feel a sensation of tightness around the forehead.
fatigue,Feeling Of Tiredness
headache,A long and persistent headache that the over the counter medicine is not having any impact on.
weight loss,"No matter how much I eat to gain weight, I am experiencing weight loss."
polydipsia,For the last one week i am getting  Excessive Thirst in the night than in the day.
fever,lately i'm experiencing chills which are so bad that sometimes i'm actually shivering.  sometimes i have to grab a blanket and wrap myself in it to stay warm.  it has been happening quite frequently lately.
polydipsia,I have been feeling very thirsty lately and cannot stop drinking fluids.
tachycardia,My heart feels like it’s beating out of my chest
dyspnea,I wake up at night from a deep sleep and It's like I am suffering from air hunger.
fever,I developed a fever after catching the flu
polydipsia,intermittent ingestion of large volumes of water
heartburn,"I have been getting acid reflux quite often lately, which seems to be worse when lying down after eating."
fatigue,Lately i've been noticing ive been feeling really fatigued and unmotivated
fatigue,I'm always tired and my body aches.
heartburn,Acid Reflux
fatigue,I have experienced over the past week some unusual body pain all over.
mass at lower extremities,I was shaving my legs and found a large lump just under the back of my knee. It was hard and hot and hurt when I pushed on it.
epistaxis,My nose wont stop bleeding!
tachycardia,I can hear my heart beating really fast most of the time.
weight loss,"I have not been able to gain weight, I have been eating right and still exercising and not gaining weight."
heartburn,acid regurgitation
mass at lower extremities,There is a mass in my legs.
fatigue,"Not sure whats going on.  Im sleeping 10 to 12 hours every night and still taking naps during the say.  Ive fell asleep at my desk a couple of times last week.  When i wake up from sleeping, i still feel tired."
tachycardia,"I am feeling really jittery, and my heart is racing. This happens sometimes when I'm thinking about work or school."
fever,I think I am running a fever. I don't think I have been exposed to Covid.
polydipsia,Everyday I was up and my mouth is super dry and I have polydipsia. I can down at least 2 bottles of water as soon as I wake up.
tachycardia,Sometimes when I'm sleeping i feel like my heart beat rate increased and it will lead to a Heart attack.
mass at lower extremities,I have some weird mass on my foot and it's making it hard to walk.
mass at lower extremities,There is a mass on the back of my left leg.
weight loss,I have noticed received that I have lost some weight that I wasn't planning on losing.
dyspnea,I have been having air hunger it makes it very hard to do anything or to speak.
fatigue,I have been feeling so tired lately and just haven't had any strength.
headache,my headaches have been getting worse
heartburn,reflux
heartburn,I have a burning pain in my stomach whenever I eat.
weight loss,"I keep losing weight, even though I have been eating the same as usual & even more so with my having breakfast lately."
fatigue,I feel like I don't have energy and don't want to do anything
mass at lower extremities,Lump at thighs at the mass tip.
epistaxis,My nose is bleeding a lot more than normal and it happens at the most unexpected times so I am here to figure out why.
mass at lower extremities,I noticed a lump under the skin at my hip.
headache,"Doctor, I have a pain in my head.  It isn't a headache it is just a pain going through my head."
weight loss,I have noticed that I have been unintentionally losing a lot of weight and I am now underweight.
headache,The last couple of days I have had like a throbbing feeling around my forehead.  It doesn't happen all the time.  Only when I bend over like when I'm getting food out of the oven.
mass at lower extremities,I have a mass growing on my right upper hip area.
headache,"During migraines, I experience sensation of tightness around forehead."
heartburn,Over the past month I have experienced a sharp burning pain in my stomach area.
dyspnea,I have been having trouble breathing just doing light activity.
heartburn,"After eating, I've noticed a burning in my chest."
heartburn,I have been experiencing heartburn and reflux.
tachycardia,If I sit for awhile I start having rapid heart rate.
headache,"Throughout the day, while I'm at work and using my computer, my head hurts."
heartburn,My heart feels like it's made of fire; I think I have heartburn.
fatigue,"Doc, i dont know how to explain it but everything hurts.  My entire body.  Everything.  I tried soaking in a tub but that hurt.  Wouldnt even consider a massage.   I have no energy or motivation to do anything because it just hurts and i just cant physically move.  Its been gradually getting worse since i left the military."
dyspnea,When I climb the stairs to my apartment I get shortness of breath.
dyspnea,air hunger
fever,hyperthermia
fever,raised temperature
fever,My son came back from playing outside and the next day he had a high fever.
mass at lower extremities,I was putting on my pants when I noticed I had a large lump on my thigh.
polydipsia,"I can't stop feeling thirsty, however much I drink."
weight loss,I've been eating a lot but I keep losing weight.
mass at lower extremities,I have this great big bump or lump on my right thigh.
headache,I woke this morning I noticed I am having aches all over my body
headache,"When I got home from work the other day and sat down, I started to experience a throbbing feeling around my forehead that hasn't gone away."
polydipsia,My mouth is so dry and I;m so thirsty all the time.
dyspnea,I am having difficulty in breathing. I cannot breathe properly
dyspnea,Over the past month I have experienced feeling suffocated after I eat lunch.
dyspnea,suffocation feeling
fatigue,I have been feeling super tired lately.
weight loss,I eat plenty of food and drink protein shakes but I still cannot gain weight.
weight loss,"I have been eating 1 meal each day, causing me to lose an inappropriate amount of weight."
tachycardia,"I feel my heart is racing, and my pulse had been steadily over 100"
tachycardia,"Lately, I've noticed that my heart rate is up very high. It causes me to have major anxiety attacks."
fatigue,low energy
fatigue,"I didn't travel anywhere, just I am in house. But even though I feel so lassitude. I could not do anything actively. After the relaxation also I suffered on a lack of energy"
headache,My head hurts all the time especially in the evening. Also I don't see very well. Maybe I should wear glasses?
polydipsia,I am feeling very thirsty even after drinking enough water.
headache,I have been having headaches often every day. It has been making it hard for me to function.
tachycardia,My heart is beating really fast all the time.
tachycardia,"I have never struggle with asthma before, but recently, I have found that my heart has been beating very fast, even when not doing a difficult activity."
mass at lower extremities,I am concered that there is a large size mass in my thigh that I have never seen before.
fatigue,"I feel super tired, or malaise."
mass at lower extremities,I have this big lump on my right hip.
weight loss,unexplained weight loss
epistaxis,nosebleed
fatigue,I am often feeling of tiredness. I grew dozy.
dyspnea,At times I have this twitching feeling in my eye as it would keep on opening and closing and later I have this dyspnea where its really hard to breathe for me.
fever,I feel hot all the time.
heartburn,I have been eating this spicy India food which was interesting but now I feel I have a discomfort in throat and heartburn.
fatigue,"Even when I'm fully rested, I'm just so tired. I could just be sitting  on the couch and I'm tired."
weight loss,"I've been eating quite a bit, yet I have lost 25 pounds. I'm not sure why."
headache,I have been having headaches for a couple of weeks now. I have tried Tylenol and Advil and nothing touches the headache. I can't focus on work because it hurts so bad.
tachycardia,When I took this supplement I got tachycardia.
polydipsia,"Even though I drink water constantly, I'm thirsty all the time, it seems really excessive."
fatigue,"I feel so lethargic and have no energy, but I've been bed bound."
dyspnea,I have a small cabin at work and at times when I am sitting there I keep feeling suffocated that makes me want to leave the place and go outside for a bit
heartburn,"Once in a while, I have this indigestion that feels like there is a fire inside my chest."
dyspnea,"Everytime I try to walk to the store, I find it difficult to breath."
dyspnea,I feel like I am being smothered and I am having difficulty breathing.
headache,left half head pain
tachycardia,I feel like I have always just come from running a mile - my heart won't slow down!
headache,I've been having throbbing headaches around my forehead during my period.
fatigue,"I have been experiencing extreme periods of tiredness this last week. I feel tired when I wake, even if I have just slept for 8 hours. I am also feeling pain throughout my entire body, which is causing the lack of good deep sleep."
tachycardia,My heart is starting to race without any reason even if I don't do anything physical. It beats really fast.
headache,Sometimes when I am trying to read I get pain and forehead tension.
mass at lower extremities,"There is a mass in my foot, it is hard."
mass at lower extremities,I have this lump in my lower left calf muscle.
dyspnea,I have had a very tough time breathing all day.
fever,raised body temperature
fever,"I've recently begun feeling much hotter than usual, even when I'm not even exerting much energy.  I feel like I'm running a fever, but I do not think I am sick."
polydipsia,"I've been so very thirsty lately. I'll drink and drink water throughout the day, and the thirst never goes away. I feel dehydrated all the time and it gives me migraines."
fatigue,My body feels weak even after I've done nothing hard all day
heartburn,I have been getting acid indigestion everyday after I eat and when going to sleep at night.
tachycardia,After doing light physical activity I noticed that my heart rate was very fast.
epistaxis,Nosebleed
epistaxis,I was out in the heat and started tasting blood going down the back of my throat.
headache,I’ve had the worst pounding headaches every morning.
fever,high body temperature
epistaxis,I have noticed over the past month I often have nose bleeds.
weight loss,weight loss
fever,I always have a fever and high temperature.
epistaxis,"Every morning, for the past week I have been getting nosebleeds."
epistaxis,bleeding from the nose
epistaxis,"I am watching TV, and suddenly I see blood come out my nose."
headache,"Sometimes when I am working too hard or after a long day, I start to notice that I get a head ache and want to lay down."
fatigue,I get a full 8 hours sleep but still feel very tired all of the time.
mass at lower extremities,I have this great big massive lump in my hip.
headache,I have been waking up most mornings with a migraine.
epistaxis,I noticed when I woke up  this morning and the past several mornings I have been experiencing a nose bleed that is harder to stop. it keeps hemorrhaging
tachycardia,My heart beats are very fast. My pulse rate is also very fast.
fatigue,I feel fatigue. I am unable to work . I feel lazy.
fever,"I have come down with a really high fever, and I am concernd about it."
fatigue,"For some reason when opening a jar I have loss of strength to get it open. I use to open it with no problem, now I struggle."
fatigue,"Throughout the day, every day, I am tired, even when I get enough sleep at night."
dyspnea,I've been having difficulty breathing the last couple of days.
dyspnea,I struggle to take a breath in while I'm running or exercising.
fatigue,"Despite getting a full nights sleep, I still feel really tired. I don't  sleep with my cellphone near me, or even have any sound on, and the room itself is dark when I sleep."
mass at lower extremities,I hit my thigh on the dresser that left a bruise. Now there is a mass where the bruising was.
fatigue,For the last week my body has been feeling tired and weak.
mass at lower extremities,the other night when i was taking a shower i noticed a lump on my right leg and i thought you should see it; it is still there and it's not getting any smaller.
polydipsia,"I feel like I'm constantly in a desert because I am just so thirsty! No matter how much I drink, I still feel thirsty. My body remains cool and I'm not overheating so I can't figure out why I can't quench my thirst."
dyspnea,"No matter how deep of a breath I take, it feels like my lungs want more"
heartburn,Doctor woke up with this heavy feeling in my chest felt like it was on fire and i couldn't stop the pain i was feeling in my chest.
fever,My temperature has been very high for the last 3 days.
fatigue,My body has a constant feeling of being tired. It is hard for me to work or walk long distances such as going grocery shopping. I feel the constant need to sit down or lay down.
polydipsia,feeling of extreme thirstiness
heartburn,"Unless I use baking soda often, I get heartburn all of the time."
tachycardia,a heart rate thats too fast
dyspnea,I cant breath easily.
polydipsia,Since yesterday I noticed that am having excessive thirst.
headache,I was just sitting and I felt pain in my head.
fatigue,I don’t have the energy to get anything done. I feel tired and unmotivated all the time.
dyspnea,I can't take a breathe and it feels like I'm out of breath
fatigue,I have been experiencing lots of fatigue and overall body pain throughout the entire day.
heartburn,Every night after dinner I get really bad heartburn.
