label,text
heartburn,My heartburn is preventing me from getting anything done.
fever,I was feeling hot last night so I took my temperature and noticed it was higher than it should be.
dyspnea,I wake up at night from a deep sleep and It's like I am suffering from air hunger.
mass at lower extremities,mass at thighs
tachycardia,I have been randomly experiencing tachycardia and it doesn't seem to be linked with physical activity.
dyspnea,"I have been diagnosed with dyspnea, a condition characterized by difficulty breathing."
mass at lower extremities,There is a mass in my lower leg.
fatigue,I have this all over body pain and it just makes me so fatiqued.
mass at lower extremities,I have noticed a mass at my lower extremities
mass at lower extremities,I have this abscess-like thing that is also called a lump at the lower extremities. It must have happened when I was playing baseball and got hit so many times below the belt.
polydipsia,I just can't drink enough water and I have read that this could be polydipsia.
polydipsia,I feel thirsty all the time. A lot more than before.
fever,I have a fever.
mass at lower extremities,I have this great big massive lump in my hip.
weight loss,My body weight has gone down.
tachycardia,My heart feels like it’s beating out of my chest
heartburn,I feel like there is a fire in my stomach that is rising up into my chest.
polydipsia,I am feeling very thirsty even after drinking enough water.
dyspnea,"I have been diagnosed with dyspnea, a condition that affects my ability to breathe comfortably."
mass at lower extremities,I have an additional appendage growing out of me and I think its a legs or feet.
epistaxis,hemorrhage from the nostril
fever,"I was feeling very hot, so I took my temperature and it was very high."
tachycardia,My heart feels like it's beating out of my chest.
fatigue,I have experienced over the past week some unusual body pain all over.
polydipsia,"I've been so very thirsty lately. I'll drink and drink water throughout the day, and the thirst never goes away. I feel dehydrated all the time and it gives me migraines."
heartburn,"After I eat, I feel a burning sensation in my chest."
tachycardia,"My heart rate has been elevated, a sign of tachycardia."
headache,forehead tension
mass at lower extremities,I wish this mass at lower extremities would just disappear.
fever,"My body temperature is higher than it should be, even though everything else feels fine."
weight loss,I've lost a large amount of weight over the last several months without dieting and am concerned that something is wrong.
fatigue,I've just been feeling tired and lazy.
polydipsia,My thirst is unrelenting and I am constantly drinking water.
fatigue,"when I do a repeated movement, tiredness and pain in my legs come."
tachycardia,My pulse is fast and I can feel it in my neck.
headache,I have been having headaches for two weeks.
headache,I have a headache that is putting pressure at my forehead.
mass at lower extremities,I fell out of my chair last night at the bar. This morning I woke up with a mass on my leg and a bruise on my feet.
epistaxis,I have frequent bloody discharge from my nose.
fatigue,I feel like I don't have energy and don't want to do anything
polydipsia,I cannot seem to stop drinking water. I keep feeling dried out and its like an excessive thirst.
tachycardia,"I have a fast heart rate, a symptom of tachycardia."
fatigue,fatigue
weight loss,"Over the past few months, I have noticed that my clothes are much looser on me than before. I don't fit in anything, and I don't recognize my body in the mirror."
fatigue,After waking up in the morning. I feel tired all the time.
tachycardia,When I have 3 cups of coffee I feel a rapid heart rate
weight loss,"I am having a balanced diet with carbs, fats etc in sufficient quantity, but still I am losing weight unintentionally."
heartburn,"I've tried changing my diet, my exercise plan, and some other habits but no matter what I do this heartburn feeling hits every single time. Usually it's only when I lay down, but some times if I sit for too long without getting up to move, the heartburn will hit me then too."
epistaxis,My nose has been bleeding off and on lately.
fever,"I have come down with a really high fever, and I am concernd about it."
dyspnea,"I have been struggling with dyspnea for some time, causing difficulty breathing."
weight loss,"I take food well. however, I am not gaining weight properly. what to do?"
epistaxis,Over the past month I have experienced an increase in epistaxis for 3 days a week.
headache,I have a pounding sensation in my head.
polydipsia,"I have been told that I am showing signs of polydipsia, which is an indication of a certain condition"
dyspnea,I noticed when I walk around I am having trouble breathing and shortness of breath.
fever,I think I'm running a fever because my body temperature has just been getting hotter and hotter lately .
headache,headache
heartburn,There is a burning sensation in my chest that won't go away.
dyspnea,I have had a very tough time breathing all day.
fatigue,I have been feeling more fatigued for the past couple of months.
epistaxis,"I have been struggling with epistaxis for some time, which affects my nose and causes frequent nosebleeds."
heartburn,"When I eat spicy foods, I get heartburn every time."
fever,I have been having a fever lately.
polydipsia,My polydipsia is not getting any better
headache,headache
dyspnea,I have been having trouble breathing just doing light activity.
dyspnea,"I was diagnosed with asthma a child and it improved over the years, but now I am having trouble breathing at night when I sleep. I wake up coughing or gasping for air."
mass at lower extremities,"I am having numbness, pain, and tingling on the outside of my thighs."
fatigue,I have a hard time getting out of bed in the morning.
dyspnea,I start to have dyspnea even when I walk for 5 minutes.
tachycardia,"I'm worried, I've not done anything strenuous but my hearts racing."
dyspnea,air need
fever,high body temperature
fatigue,"Despite getting a full nights sleep, I still feel really tired. I don't  sleep with my cellphone near me, or even have any sound on, and the room itself is dark when I sleep."
headache,I've had a headache but it is only on the left side of my head.
weight loss,"I have not been able to gain weight, I have been eating right and still exercising and not gaining weight."
dyspnea,"I have been dealing with dyspnea for some time, which affects my ability to breathe comfortably."
fatigue,The fatigue is making it hard for me to think clearly.
mass at lower extremities,"There is a mass in my foot, it is hard."
headache,I'm feeling pressure in my forehead It is pounding.
heartburn,"Over the last few days, i've felt a discomfort in my throat. I think I'm getting a cold."
epistaxis,I experience frequent nosebleeds and difficulty stopping the bleeding due to my epistaxis.
heartburn,acid reflux
dyspnea,When I lay down on my right side it is hard for me to breathe at night.
dyspnea,"I'm having a hard time breathing, I cant get my breath."
fatigue,I sleep 8 hours a night but I still feel that I am tired all day like I have not slept at all.
polydipsia,"I feel like I'm constantly in a desert because I am just so thirsty! No matter how much I drink, I still feel thirsty. My body remains cool and I'm not overheating so I can't figure out why I can't quench my thirst."
heartburn,I take antacids daily but I can't seem to get rid of the constant acid indigestion.
weight loss,I can eat all day and lay around but I can't put on a single pound
headache,I have been having headaches for a couple of weeks now. I have tried Tylenol and Advil and nothing touches the headache. I can't focus on work because it hurts so bad.
polydipsia,I have been informed that I have polydipsia
tachycardia,My pulse is rapid and strong.
fever,feverish
epistaxis,I have noticed over the past month that my nose tends to bleed.
fatigue,tired
heartburn,My heartburn is driving me crazy.
headache,My headache is preventing me from getting anything done.
fever,My fever is making it hard for me to sleep.
epistaxis,"I have been diagnosed with epistaxis, a condition characterized by nosebleeds."
polydipsia,feeling of extreme thirstiness
tachycardia,While sleeping I feel like suddenly my heart rate increased.
tachycardia,Sometimes I feel heavy rapid heartbeat.
mass at lower extremities,I can't stand this mass at lower extremities any longer.
fever,Shivering chills befor of high temperature.
headache,I think I might have a migraine headache.
tachycardia,I am concerned about my heart because I have noticed when I am the least bit active my heart beats really fast.
polydipsia,"I have been drinking excessive amounts of water, I suspect it's polydipsia"
heartburn,I have been eating this spicy India food which was interesting but now I feel I have a discomfort in throat and heartburn.
fever,"I'm constantly sweaty and hot, but my air conditioning is at the highest setting!"
fatigue,"Not sure whats going on.  Im sleeping 10 to 12 hours every night and still taking naps during the say.  Ive fell asleep at my desk a couple of times last week.  When i wake up from sleeping, i still feel tired."
headache,I've been dealing with a headache all morning.
mass at lower extremities,Every time I go to sit down I have this pain from a mass at my hip.
mass at lower extremities,"Heaviness in the lower half of my body, running is harder than before this heaviness."
tachycardia,I am concerned about the tachycardia I am feeling
epistaxis,blood loss from the nose
fatigue,"For the past few days, I have had a lot of body pain all over and I feel under the weather."
fatigue,So it's been really common that I've been getting sleepy super easily without any explanation.
fatigue,I'm tired all of the time and I have a lack of energy
polydipsia,I have been experiencing polydipsia and I am seeking medical attention for it
tachycardia,fast pulse
dyspnea,cannot inhale
fatigue,I literally can't get myself out of bed because I am so tired.
fatigue,feeling tired
headache,I recently had a mini bicycle accident and fell flat on my face. Ever since that day I can feel pressure on my forehead and I'm wondering if this will ever go away or might be something more serious.
fatigue,I feel tired all the time even with a full nights sleep.
polydipsia,"I can't stop feeling thirsty, however much I drink."
fever,I have goosebumps all over.
weight loss,I am suffering from weight loss
epistaxis,"I am dealing with epistaxis, a condition that affects my nose and causes nosebleeds."
tachycardia,My heart beats are very fast. My pulse rate is also very fast.
tachycardia,"I have never struggle with asthma before, but recently, I have found that my heart has been beating very fast, even when not doing a difficult activity."
fatigue,I need to take naps throughout the day as I feel lazy all the time
dyspnea,"I feel like I am suffocating, I literally can't catch my breath."
weight loss,I am not gaining weight Properly for the past 6 months. I take food properly
epistaxis,hemorrhage from the nasal cavity
dyspnea,"Whenever, I try to breath, it feels like I'm being suffocated because I just can't get enough air into my lungs."
headache,My head really hurts and I'm not sure why
dyspnea,I have a hard time breathing even when I'm not doing any exercises.
heartburn,When I am laying in bed if I sleep on the wrong side I get really bad acid regugitation that burns my nose and throat.
heartburn,These pass few weeks I have eating later than usual and I have been experiencing burning in my chest.
polydipsia,I have been so thirsty that I end up consuming twice what I usually do- my general practitioner called my symptom polydipsia.
fever,I developed a fever after catching the flu
tachycardia,I am dealing with tachycardia and its effects on my heart and body.
headache,"I have just been experiencing little aches all over, especially in the joints."
tachycardia,My heart is beating so fast maybe because of tension.
dyspnea,"I've been having shortness of breath, even after just walking a few steps."
fever,I'm feeling hot and flushed.
tachycardia,My heart feels as though it is beating really fast.
weight loss,"I keep losing weight, even though I have been eating the same as usual & even more so with my having breakfast lately."
tachycardia,Tachycardia has become a significant problem in my life.
epistaxis,I noticed when I woke up  this morning and the past several mornings I have been experiencing a nose bleed that is harder to stop. it keeps hemorrhaging
weight loss,I am losing weight despite the fact I am trying to gain some weight
polydipsia,excessive thirst
weight loss,I have lost substantial amounts of fat.
epistaxis,I have been having nose bleeds recently.
weight loss,I have been eating normally but am losing weight.
fatigue,"I have some kind of chronic fatigue, I am tired constantly, even just after rising."
tachycardia,My heart rate is over 100 beats a minute
heartburn,I get heartburn all of the time unless I use a little bit of baking soda.
headache,I just have a really bad headache.
mass at lower extremities,lump at thighs
epistaxis,nasal bleeding
fatigue,I feel really achey and tired all the time - my body is so sore
headache,I feel aches in the whole body which sometimes prolong for hours.
tachycardia,Tachycardia is causing me physical and emotional distress.
heartburn,I have a lot of acid reflux and heartburn often.
mass at lower extremities,I was getting out of the shower the other day and it looked like I had some kind of blister or cyst on the inside of my thigh.
dyspnea,I feel like I can't get enough air.
dyspnea,When I am sitting in the evenings sometimes I have a hard time breathing.
heartburn,I feel heartburn as my chest is burning
fever,My temperature is higher than usual.
fever,I am experiencing a fever and it's impacting my self-esteem.
fatigue,"Lately I'm having no energy for anything, even strong coffee doesn't help."
heartburn,The burning sensation in my chest is heartburn.
headache,There is a lot of tension in my head.
fatigue,bodyach
polydipsia,I've noticed that I am thirstier than normal.
mass at lower extremities,mass at lower extremities
fatigue,I feel like I have no energy to do things.
fatigue,I have a hard time focusing because I'm exhausted
fatigue,"When  I got home from work, I was feeling very fatigued. I am feeling nausea as well as a body ache and chills."
fever,I am so hot and tired.
heartburn,I'm trying to work through this heartburn.
weight loss,"I haven't changed my diet or exercise routine, however I seem to be losing weight unintentionally."
dyspnea,My throat/ airway is very tight and I cannot breath normally.  I have great difficulty trying to take in air even while sitting down.  It feels air is being sucked out of me.
headache,I've been having throbbing headaches around my forehead during my period.
headache,If I get temper I feel throbbing feeling around forehead. often I am getting head ache on one side of my head.
mass at lower extremities,mass at hip
dyspnea,"Im having a hard time inhaling, I feel as though I can't catch my breath."
dyspnea,I have trouble catching my breath.
tachycardia,I feel like my heart is racing.
heartburn,Over the past month I have experienced a sharp burning pain in my stomach area.
heartburn,"I've been taking medicine for my heartburn, but it's not helping."
dyspnea,i find myself grasping for air
fever,I am experiencing very high fevers at night that are making it hard to sleep
fatigue,I have noticed over the past month that I have no and little energy to complete tasks.
mass at lower extremities,I went to put my shorts on yesterday and I noticed the right leg of my shorts fit a little tighter than the left leg of my shorts. I noticed I had a lump on my right thigh that caused the shorts to fit tighter on that side. I have never noticed the bump before and my shorts have always fit before. This thigh lump is new and concerning.
epistaxis,Every time I play basketball I get epistaxis.
polydipsia,I smoked my vape and now chronic ingestion of large volume of water
weight loss,"No matter what I eat or how much I exercise, I can't keep my weight where I want it. I feel like I'm losing weight and I don't like it. I don't feel healthy and nothing seems to work to gain weight."
headache,I have a throbbing sensation in my head.
epistaxis,I have epistaxis which results in frequent nosebleeds.
polydipsia,I feel like I never drink enough. My mouth feels dry and I feel dehydrated even if I drink all the time.
polydipsia,Excessive Thirst
headache,I have been waking up most mornings with a migraine.
fatigue,feeling weak
fever,I have been running a fever for a long time and it's starting to affect my overall well-being.
fever,lately i'm experiencing chills which are so bad that sometimes i'm actually shivering.  sometimes i have to grab a blanket and wrap myself in it to stay warm.  it has been happening quite frequently lately.
epistaxis,I donâ€™t know what happened but I woke up with a bloody nose.
fever,I feel like I've had a fever these last few days. I'm frequently cold and will get shivers. my face feels flushed
mass at lower extremities,"My legs have large lumps on them, probably from bumping them on my bed frame"
weight loss,"I've been trying to gain weight, but nothing I can't seem to put on weight."
headache,"Every time I put my head up, I feel a pain on the right side of my head and loud noises make it worse."
heartburn,I feel heartburn after eating my meal.
headache,I am having this head pain in the front of my head and it’s worse when I lye down.
fatigue,malaise
mass at lower extremities,There is a lump on my hip.
fever,For the last three days I've experienced increased body temperature. I was in the rain one day and I think I got cold.
headache,"When I got home from work the other day and sat down, I started to experience a throbbing feeling around my forehead that hasn't gone away."
weight loss,I lost some kilos this month
fever,So I have noticed that I just randomly get goosebumps.
heartburn,I can't stand this heartburn any longer.
mass at lower extremities,I have some weird mass on my foot and it's making it hard to walk.
fever,I have a very high fever.
polydipsia,For the last month I have had a feeling of being thirsty all the time. I just can't seem to get enough to drink. I can drink 2 or 3 glasses in an hour and I still feel like I need more.
tachycardia,"I have an elevated heart rate, a symptom of tachycardia."
polydipsia,chronic ingestion of large volumes of water
headache,My head hurts each time am showing the television
dyspnea,Everytime i lay down breathing becomes so umcomfortable that i have to get up immediatly
weight loss,My body weight has decreased.
heartburn,I have a lot of acid in my esophagus.
tachycardia,I'm concerned because lately i notice that my heart is beating very fast even when it shouldn't be; for example i could be sitting at home watching television and i can tell my heart is beating faster than it should be.
headache,My head hurts all the time especially in the evening. Also I don't see very well. Maybe I should wear glasses?
polydipsia,polydipsia
headache,"During migraines, I experience sensation of tightness around forehead."
fatigue,good day doctor and thank you for getting me an appointment so quickly. i can't tell you how frustrated i am.  for the past few weeks i've been exhausted; this is effecting every aspect of my life.  i almost fell asleep at work the other day and in fact i think i actually was asleep for a few seconds.  when i was driving over here i could hardly keep my eyes open.  i haven't been under any increased stress; i;m no more nervous than i usually am and i need to know what's wrong with me..
polydipsia,"I dont know why, but lately i have been experiencing excessive thirst. I havent changed anything in my life and its like i am constantly thirsty."
epistaxis,nose is bleeding
weight loss,I am now carrying less weight than I did previously.
fatigue,I get tired easily.
fatigue,My body has been aching even when I didn't workout that day
weight loss,Over the past month I have experienced unexplained weight loss of 20 pounds.
mass at lower extremities,I have this great big bump or lump on my right thigh.
epistaxis,"My epistaxis diagnosis has been difficult, as it affects my daily activities."
fever,raised body temperature
heartburn,discomfort in throat
