label,text
5,My heartburn is preventing me from getting anything done.
3,I was feeling hot last night so I took my temperature and noticed it was higher than it should be.
0,I wake up at night from a deep sleep and It's like I am suffering from air hunger.
6,mass at thighs
8,I have been randomly experiencing tachycardia and it doesn't seem to be linked with physical activity.
0,"I have been diagnosed with dyspnea, a condition characterized by difficulty breathing."
6,There is a mass in my lower leg.
2,I have this all over body pain and it just makes me so fatiqued.
6,I have noticed a mass at my lower extremities
6,I have this abscess-like thing that is also called a lump at the lower extremities. It must have happened when I was playing baseball and got hit so many times below the belt.
7,I just can't drink enough water and I have read that this could be polydipsia.
7,I feel thirsty all the time. A lot more than before.
3,I have a fever.
6,I have this great big massive lump in my hip.
9,My body weight has gone down.
8,My heart feels like it’s beating out of my chest
5,I feel like there is a fire in my stomach that is rising up into my chest.
7,I am feeling very thirsty even after drinking enough water.
0,"I have been diagnosed with dyspnea, a condition that affects my ability to breathe comfortably."
6,I have an additional appendage growing out of me and I think its a legs or feet.
1,hemorrhage from the nostril
3,"I was feeling very hot, so I took my temperature and it was very high."
8,My heart feels like it's beating out of my chest.
2,I have experienced over the past week some unusual body pain all over.
7,"I've been so very thirsty lately. I'll drink and drink water throughout the day, and the thirst never goes away. I feel dehydrated all the time and it gives me migraines."
5,"After I eat, I feel a burning sensation in my chest."
8,"My heart rate has been elevated, a sign of tachycardia."
4,forehead tension
6,I wish this mass at lower extremities would just disappear.
3,"My body temperature is higher than it should be, even though everything else feels fine."
9,I've lost a large amount of weight over the last several months without dieting and am concerned that something is wrong.
2,I've just been feeling tired and lazy.
7,My thirst is unrelenting and I am constantly drinking water.
2,"when I do a repeated movement, tiredness and pain in my legs come."
8,My pulse is fast and I can feel it in my neck.
4,I have been having headaches for two weeks.
4,I have a headache that is putting pressure at my forehead.
6,I fell out of my chair last night at the bar. This morning I woke up with a mass on my leg and a bruise on my feet.
1,I have frequent bloody discharge from my nose.
2,I feel like I don't have energy and don't want to do anything
7,I cannot seem to stop drinking water. I keep feeling dried out and its like an excessive thirst.
8,"I have a fast heart rate, a symptom of tachycardia."
2,fatigue
9,"Over the past few months, I have noticed that my clothes are much looser on me than before. I don't fit in anything, and I don't recognize my body in the mirror."
2,After waking up in the morning. I feel tired all the time.
8,When I have 3 cups of coffee I feel a rapid heart rate
9,"I am having a balanced diet with carbs, fats etc in sufficient quantity, but still I am losing weight unintentionally."
5,"I've tried changing my diet, my exercise plan, and some other habits but no matter what I do this heartburn feeling hits every single time. Usually it's only when I lay down, but some times if I sit for too long without getting up to move, the heartburn will hit me then too."
1,My nose has been bleeding off and on lately.
3,"I have come down with a really high fever, and I am concernd about it."
0,"I have been struggling with dyspnea for some time, causing difficulty breathing."
9,"I take food well. however, I am not gaining weight properly. what to do?"
1,Over the past month I have experienced an increase in epistaxis for 3 days a week.
4,I have a pounding sensation in my head.
7,"I have been told that I am showing signs of polydipsia, which is an indication of a certain condition"
0,I noticed when I walk around I am having trouble breathing and shortness of breath.
3,I think I'm running a fever because my body temperature has just been getting hotter and hotter lately .
4,headache
