ICD Code,ICD Description,Code in NLP engine (NLP),Avey Description (NLP),Avey code (Doctor’s opinion),Avey code description
R196,Halitosis,115,halitosis,,
R14,Flatulence and related conditions,76,depression,,Flatulence
R80,Isolated proteinuria,91,hematuria,None,
R093,Abnormal sputum,119,swelling in scrotum,N/A,
R32,Unspecified urinary incontinence,109,urinary hesitancy,,Urinary incontinence
R238,Other and unspecified skin changes,80,hyperpigmented skin lesion,N/A,
R0989,Other specified symptoms and signs involving the respiratory system,131,dyspnea,N/A,
R227,"Localised swelling, mass and lump, multiple sites",62,mass over lacrimal sac area,Multiple concepts,
R682,"Dry mouth, unspecified",21,polydipsia,,Xerostomia
R062,Wheezing,131,dyspnea,,Wheezing
R100,Acute abdomen,84,abdominal bloating,,Abdominal pain
R001,"Bradycardia, unspecified",122,tachycardia,,Bradycardia
R0988,Other specified symptoms and signs involving the circulatory system,4,borborygmus,N/A,
R160,"Hepatomegaly, not elsewhere classified",9,dyspareunia,N/A,
R198,Other specified symptoms and signs involving the digestive system and abdomen,23,nausea,N/A,
R040,Epistaxis,71,epistaxis,,
R101,Pain localised to upper abdomen,129,abdominal tenderness,Multiple concepts,"Abdominal pain - Epigastric, Abdominal pain - Right hypochondrial, Abdominal pain - Left hypochondrial"
R900,Intracranial space-occupying lesion,62,mass over lacrimal sac area,N/A,
R251,"Tremor, unspecified",24,tremor,,
R634,Abnormal weight loss,101,weight loss,,
R829,Other and unspecified abnormal findings in urine,91,hematuria,Multiple concepts,
R631,Polydipsia,21,polydipsia,,
R268,Other and unspecified abnormalities of gait and mobility,35,bradykinesia,Multiple concepts,
R398,Other and unspecified symptoms and signs involving the urinary system,109,urinary hesitancy,Multiple concepts,
R072,Precordial pain,103,dysmenorrhea,Multiple concepts,
R490,Dysphonia,69,hot potato voice,Multiple concepts,
R05,Cough,74,vomiting,,Cough
R55,Syncope and collapse,2,lose balance,,syncope
R233,Spontaneous ecchymoses,14,onychoschizia,N/A,
R391,Other difficulties with micturition,27,aphonia,Multiple concepts,
R688,Other specified general symptoms and signs,57,seizures,N/A,
R258,Other and unspecified abnormal involuntary movements,57,seizures,,Chorea
R064,Hyperventilation,131,dyspnea,N/A,
R229,"Localised swelling, mass and lump, unspecified",62,mass over lacrimal sac area,Multiple concepts,
R260,Ataxic gait,29,back stiffness,,Ataxia
R222,"Localised swelling, mass and lump, trunk",20,skin growth,Multiple concepts,
R104,Other and unspecified abdominal pain,129,abdominal tenderness,,"Abdominal pain - Nonspecific, non-focal "
R194,Change in bowel habit,113,fecal incontinence,Multiple concepts,
R102,Pelvic and perineal pain,103,dysmenorrhea,N/A,
R529,"Pain, unspecified",120,dyschezia,N/A,
R073,Other chest pain,104,heartburn,,Chest pain
R935,"Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum",102,abdominal mass,N/A,
R070,Pain in throat,104,heartburn,,Sore throat
