ICD Code,ICD Description,Code in NLP engine (NLP),Avey Description (NLP),Avey code (Doctor’s opinion),Avey code description
R196,Halitosis,498,halitosis,,
R14,Flatulence and related conditions,317,depression,,
R80,Isolated proteinuria,238,hematuria,,
R093,Abnormal sputum,514,swelling in scrotum,,
R32,Unspecified urinary incontinence,307,urinary hesitancy,,
R238,Other and unspecified skin changes,330,hyperpigmented skin lesion,,
R0989,Other specified symptoms and signs involving the respiratory system,72,dyspnea,,
R227,"Localised swelling, mass and lump, multiple sites",854,mass over lacrimal sac area,,
R682,"Dry mouth, unspecified",552,polydipsia,,
R062,Wheezing,72,dyspnea,,
R100,Acute abdomen,504,abdominal bloating,,
R001,"Bradycardia, unspecified",806,tachycardia,,
R0988,Other specified symptoms and signs involving the circulatory system,213,borborygmus,,
R160,"Hepatomegaly, not elsewhere classified",92,dyspareunia,,
R198,Other specified symptoms and signs involving the digestive system and abdomen,616,nausea,,
R040,Epistaxis,407,epistaxis,,
R101,Pain localised to upper abdomen,456,abdominal tenderness,,
R900,Intracranial space-occupying lesion,854,mass over lacrimal sac area,,
R251,"Tremor, unspecified",922,tremor,,
R634,Abnormal weight loss,310,weight loss,,
R829,Other and unspecified abnormal findings in urine,238,hematuria,,
R631,Polydipsia,552,polydipsia,,
R268,Other and unspecified abnormalities of gait and mobility,924,bradykinesia,,
R398,Other and unspecified symptoms and signs involving the urinary system,307,urinary hesitancy,,
R072,Precordial pain,49,dysmenorrhea,,
R490,Dysphonia,525,hot potato voice,,
R05,Cough,859,vomiting,,
R55,Syncope and collapse,53,lose balance,,
R233,Spontaneous ecchymoses,651,onychoschizia,,
R391,Other difficulties with micturition,508,aphonia,,
R688,Other specified general symptoms and signs,283,seizures,,
R258,Other and unspecified abnormal involuntary movements,283,seizures,,
R064,Hyperventilation,72,dyspnea,,
R229,"Localised swelling, mass and lump, unspecified",854,mass over lacrimal sac area,,
R260,Ataxic gait,803,back stiffness,,
R222,"Localised swelling, mass and lump, trunk",928,skin growth,,
R104,Other and unspecified abdominal pain,456,abdominal tenderness,,
R194,Change in bowel habit,994,fecal incontinence,,
R102,Pelvic and perineal pain,49,dysmenorrhea,,
R529,"Pain, unspecified",588,dyschezia,,
R073,Other chest pain,560,heartburn,,
R935,"Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum",85,abdominal mass,,
R070,Pain in throat,560,heartburn,,
R042,Haemoptysis,335,lymphadenopathy,,
R252,Cramp and spasm,49,dysmenorrhea,,
R309,"Painful micturition, unspecified",508,aphonia,,
R11,Nausea and vomiting,616,nausea,,
R630,Anorexia,412,anorexia or loss of appetite,,
R234,Changes in skin texture,330,hyperpigmented skin lesion,,
R21,Rash and other nonspecific skin eruption,330,hyperpigmented skin lesion,,
R71,Abnormality of red blood cells,380,weak immune system,,
R509,"Fever, unspecified",338,fever,,
R190,"Intra-abdominal and pelvic swelling, mass and lump",85,abdominal mass,,
R049,"Haemorrhage from respiratory passages, unspecified",407,epistaxis,,
R231,Pallor,637,pale conjunctiva,,
R221,"Localised swelling, mass and lump, neck",93,neck stiffness,,
R223,"Localised swelling, mass and lump, upper limb",761,swelling in arms,,
R220,"Localised swelling, mass and lump, head",,bulging fontanels,,
R870,"Abnormal findings in specimens from female genital organs, abnormal level of enzymes",577,scrotum looks like a bag of worms,,
R091,Pleurisy,928,skin growth,,
R278,Other and unspecified lack of coordination,924,bradykinesia,,
R600,Localised oedema,406,angioedema,,
R635,Abnormal weight gain,310,weight loss,,
R13,Dysphagia,398,dysphagia,,
R068,Other and unspecified abnormalities of breathing,72,dyspnea,,
R91,Abnormal findings on diagnostic imaging of lung,653,nasal congestion,,
R35,Polyuria,238,hematuria,,
R202,Paraesthesia of skin,756,numbness or tingling in lower extremities,,
R520,Acute pain,451,eye pain,,
R002,Palpitations,637,pale conjunctiva,,
R262,"Difficulty in walking, not elsewhere classified",482,sudden inability to stand on toes,,
R000,"Tachycardia, unspecified",806,tachycardia,,
R103,Pain localised to other parts of lower abdomen,460,heavy sensation or pressure in the groin,,
R300,Dysuria,238,hematuria,,
R224,"Localised swelling, mass and lump, lower limb",144,mass at lower extremities,,
R508,Other specified fever,338,fever,,
R008,Other and unspecified abnormalities of heart beat,806,tachycardia,,
R071,Chest pain on breathing,72,dyspnea,,
R195,Other faecal abnormalities,446,galactorrhea,,
R53,Malaise and fatigue,605,fatigue,,
R599,"Enlarged lymph nodes, unspecified",335,lymphadenopathy,,
R074,"Chest pain, unspecified",560,heartburn,,
R51,Headache,694,headache,,
R12,Heartburn,560,heartburn,,
R294,Clicking hip,,cracking of fingers during regular movement,,
R030,"Elevated blood-pressure reading, without diagnosis of hypertension",560,heartburn,,
R31,Unspecified haematuria,406,angioedema,,
R891,"Abnormal findings in specimens from other organs, abnormal level of hormones",446,galactorrhea,,
R798,Other specified abnormal findings of blood chemistry,238,hematuria,,
R633,Feeding difficulties and mismanagement,398,dysphagia,,
R73,Elevated blood glucose level,560,heartburn,,
R270,"Ataxia, unspecified",72,dyspnea,,
R011,"Cardiac murmur, unspecified",806,tachycardia,,
R42,Dizziness and giddiness,53,lose balance,,
R609,"Oedema, unspecified",406,angioedema,,
R876,"Abnormal findings in specimens from female genital organs, abnormal cytological findings",577,scrotum looks like a bag of worms,,
R060,Dyspnoea,72,dyspnea,,
